0,1,2,3,4,5
卖,маи,маи,маы,май,маи
满,ман,ман,маан,мань,ман
满意,ман ыи,ман и,маан ыих,мань и,ман ыи
猫,мао,мао,мхау,мао,мао
米,ми,ми,мии,ми,ми
面前,миан киан,миен чиен,мианн чыан,мянь цянь,миан чиан
名,минг,минг,минг,мин,минг
名称,минг ченг,минг ченг,минг ченг,мин чэн,минг ченг
名单,минг дан,минг тан,минг дан,мин дань,минг дан
明星,минг xинг,минг хсинг,минг шинг,мин син,минг xинг
目的,му де,му ти,мух дих,му дэ,му ди
拿出,на чу,на чу,на чу,на чу,на чу
拿到,на дао,на тао,на дауо,на дао,на дао
那会儿,на хуи ер,на хуи р,нах хуеы р,на хуэй эр,на хуи рр
那么,на ыао,на ме,нах ме,на яо,на ме
那时候,на ши хоу,на ших хоу,нах шыр хоу,на ши хоу,на ши хоу
那样,на ыанг,на ыанг,нах ыанк,на ян,на ыанг
南方,нан фанг,нан фанг,нан фанг,фан,нан фан
难过,нан гуо,нан куо,нан гуох,го,нан гуо
难看,нан кан,нан кан,нан канн,кань,нан кан
难受,нан шоу,нан шоу,нан шоуо,шоу,нан шоу
难题,нан ти,нан ти,нан тыи,ти,нан ти
难听,нан тинг,нан тинг,нан тинг,тин,нан тин
能够,ненг гоу,ненг коу,ненг гоуо,нэн гоу,ненг гоу
年级,ниан йи,ниен чи,ниан йыи,нянь цзи,ниан йи
年轻,ниан кинг,ниен чинг,ниан чинг,нянь цин,ниан чинг
努力,ну ли,ну ли,нуу лих,ну ли,ну ли
爬,па,па,пар,па,па
爬山,па шан,па шан,пар шан,па шань,па шан
怕,па,па,пах,па,па
排,паи,паи,паир,пай,паи
排队,паи дуи,паи туи,паир дуеы,пай дуй,паи дуи
排球,паи киу,паи чиу,паир чыоу,пай цю,паи чиу
碰,пенг,пенг,пенк,пэн,пенг
碰到,пенг дао,пенг тао,пенк дауо,пэн дао,пенг дао
碰见,пенг йиан,пенг чиен,пенк йианн,пэн цзянь,пенг йиан
篇,пиан,пиен,пиан,пянь,пиан
片,пиан,пиен,пианн,пянь,пиан
漂亮,пиао лианг,пиао лианг,пиауо лианг,пяо лян,пиао лиан
平,пинг,пинг,пынг,пин,пинг
平安,пинг ан,пинг ан,пынг ан,пин ань,пинг ан
平常,пинг чанг,пинг чанг,пынг чарнг,пин чан,пинг чанг
平等,пинг денг,пинг тенг,пынг деенг,пин дэн,пинг денг
平时,пинг ши,пинг ших,пынг шыр,пин ши,пинг ши
瓶,пинг,пинг,пынг,пин,пинг
瓶子,пинг зи,пинг зи,пынг зи,пин цзы,пинг зи
普通,пу тонг,пу тунг,пуу тонг,пу тун,пу тонг
普通话,пу тонг хуа,пу тунг хуа,пуу тонг хуах,пу тун хуа,пу тонг хуа
其他,ки та,чи та,чыи та,ци та,чи та
其中,ки жонг,чи чунг,чыи йонг,ци чжун,чи чонг
骑,ки,чи,чыи,ци,чи
骑车,ки че,чи че,чыи че,ци чэ,чи че
起飞,ки феи,чи феи,чии феи,ци фэй,чи феи
气,ки,чи,чих,ци,чи
气温,ки уоен,чи уоен,чих уен,ци вэнь,чи уоен
千,киан,чиен,чиан,цянь,чиан
千克,киан ке,чиен ко,чиан кех,цянь кэ,чиан ке
前年,киан ниан,чиен ниен,чыан ниан,цянь нянь,чиан ниан
墙,кианг,чианг,чыанг,цян,чиан
青年,кинг ниан,чинг ниен,чинг ниан,цин нянь,чинг ниан
青少年,кинг шао ниан,чинг шао ниен,чинг шауо ниан,цин шао нянь,чинг шао ниан
轻,кинг,чинг,чинг,цин,чинг
清楚,кинг чу,чинг чу,чинг чу,цин чу,чинг чу
晴,кинг,чинг,чынг,цин,чинг
晴天,кинг тиан,чинг тиен,чынг тиан,цин тянь,чинг тиан
请客,кинг ке,чинг ко,чиинг кех,цин кэ,чинг ке
请求,кинг киу,чинг чиу,чиинг чыоу,цин цю,чинг чиу
秋天,киу тиан,чиу тиен,чиоу тиан,цю тянь,чиу тиан
求,киу,чиу,чыоу,цю,чиу
球场,киу чанг,чиу чанг,чыоу чаанг,цю чан,чиу чанг
球队,киу дуи,чиу туи,чыоу дуеы,цю дуй,чиу дуи
球鞋,киу xие,чиу хсиех,чыоу шые,цю се,чиу xие
取,ку,чу,чеу,цюй,чу
取得,ку де,чу те,чеу дер,цюй дэ,чу де
全,куан,чуан,чыуан,цюань,чуан
全部,куан бу,чуан пу,чыуан бух,цюань бу,чуан бу
全国,куан гуо,чуан куо,чыуан гуоо,цюань го,чуан гуо
全家,куан йиа,чуан чиа,чыуан йиа,цюань цзя,чуан йиа
全年,куан ниан,чуан ниен,чыуан ниан,цюань нянь,чуан ниан
全身,куан шен,чуан шен,чыуан шен,цюань шэнь,чуан шен
全体,куан ти,чуан ти,чыуан тии,цюань ти,чуан ти
然后,ран хоу,ян хоу,ран хоуо,жань хоу,ран хоу
让,ранг,янг,ранк,жан,ран
热情,ре кинг,йе чинг,рех чынг,жэ цин,ре чинг
人口,рен коу,йен коу,рен кооу,жэнь коу,рен коу
人们,рен мен,йен мен,рен мен,жэнь мэнь,рен мен
人数,рен шу,йен шу,рен шух,жэнь шу,рен шу
认为,рен уоеи,йен уоеи,ренн уоеи,жэнь вэй,рен уоеи
日报,ри бао,йих пао,рых бауо,жи бао,ри бао
日子,ри зи,йих зи,рых зи,жи цзы,ри зи
如果,ру гуо,ю куо,ру гуоо,жу го,ру гуо
入口,ру коу,ю коу,рух кооу,жу коу,ру коу
商量,шанг лианг,шанг лианг,шанг лианг,шан лян,шанг лиан
商人,шанг рен,шанг йен,шанг рен,шан жэнь,шанг рен
上周,шанг жоу,шанг чоу,шанк йоу,шан чжоу,шанг чоу
少数,шао шу,шао шу,шао шух,шао шу,шао шу
少年,шао ниан,шао ниен,шауо ниан,шао нянь,шао ниан
身边,шен биан,шен пиен,шен биан,шэнь бянь,шен биан
什么样,ши ыао ыанг,шен ме ыанг,шерн ме ыанк,ши яо ян,ши ме ыанг
生,шенг,шенг,шенг,шэн,шенг
生词,шенг ци,шенг тзу,шенг цыр,шэн цы,шенг цы
生活,шенг хуо,шенг хуо,шенг хуоо,шэн хо,шенг хуо
声音,шенг ыин,шенг ыин,шенг ин,шэн инь,шенг ыин
省,шенг,шенг,шеенг,шэн,шенг
省,шенг,шенг,шеенг,шэн,шенг
十分,ши фен,ших фен,шыр фен,ши фэнь,ши фен
实际,ши йи,ших чи,шыр йих,ши цзи,ши йи
实习,ши xи,ших хси,шыр шыи,ши си,ши xи
实现,ши xиан,ших хсиен,шыр шианн,ши сянь,ши xиан
实在,ши заи,ших цаи,шыр тзаы,ши цзай,ши цаи
食物,ши уоу,ших уоу,шыр уоух,ши у,ши уоу
使用,ши ыонг,ших ыунг,шыы ыонк,ши юн,ши ыонг
市,ши,ших,шых,ши,ши
市长,ши чанг,ших чанг,шых яанг,ши чан,ши чанг
事情,ши кинг,ших кинг,шых кинг,ши цин,ши кинг
收,шоу,шоу,шоу,шоу,шоу
收到,шоу дао,шоу тао,шоу дауо,шоу дао,шоу дао
收入,шоу ру,шоу ю,шоу рух,шоу жу,шоу ру
手表,шоу биао,шоу пиао,шооу беау,шоу бяо,шоу биао
受到,шоу дао,шоу тао,шоуо дауо,шоу дао,шоу дао
舒服,шу фу,шу фу,шу фу,шу фу,шу фу
熟,шу,шу,шуоу,шу,шу
数,шу,шу,шуу,шу,шу
数字,шу зи,шу тзу,шух тзых,шу цзы,шу тзы
水平,шуи пинг,шуи пинг,шоеи пынг,шуй пин,шуи пинг
顺利,шун ли,шун ли,шуенн лих,шунь ли,шун ли
说明,шуо минг,шуо минг,шуо минг,шо мин,шуо минг
司机,си йи,ссу чи,сы йи,сы цзи,сы йи
送到,сонг дао,сунг тао,сонк дауо,сун дао,сонг дао
送给,сонг геи,сунг кеи,сонк гееи,сун гэй,сонг геи
算,суан,суан,суанн,суань,суан
虽然,суи ран,суи ян,суеи ран,суй жань,суи ран
随便,суи биан,суи пиен,суоеи бианн,суй бянь,суи биан
随时,суи ши,суи ших,суоеи шыр,суй ши,суи ши
所以,суо ыи,со и,суоо ыии,со и,суо ыи
所有,суо ыоу,со ыу,суоо ыеоу,со ю,суо ыо
它,та,та,та,та,та
它们,та мен,та мен,та мен,та мэнь,та мен
太太,таи таи,таи таи,таы таи,тай тай,таи таи
态度,таи ду,таи ду,таы ду,тай ду,таи ду
讨论,тао лун,тао лун,тао луенн,тао лунь,тао лун
套,тао,тао,тауо,тао,тао
特别,те бие,те пиех,тех бые,тэ бе,те бие
特点,те диан,те тиен,тех деан,тэ дянь,те диан
疼,тенг,тенг,тернг,тэн,тенг
提,ти,ти,тыи,ти,ти
提出,ти чу,ти чу,тыи чу,ти чу,ти чу
提到,ти дао,ти тао,тыи дауо,ти дао,ти дао
提高,ти гао,ти као,тыи гау,ти гао,ти гао
题,ти,ти,тыи,ти,ти
体育,ти ыу,ти ыу,тии ыух,ти юй,ти ыу
体育场,ти ыу чанг,ти ыу чанг,тии ыух чаанг,ти юй чан,ти ыу чанг
体育馆,ти ыу гуан,ти ыу куан,тии ыух гоан,ти юй гуань,ти ыу гуан
天上,тиан шанг,тиен шанг,тиан шанк,тянь шан,тиан шанг
条,тиао,тиао,тыау,тяо,тиао
条件,тиао йиан,тиао чиен,тыау йианн,тяо цзянь,тиао йиан
听讲,тинг йианг,тинг чианг,тинг йеанг,тин цзян,тинг йианг
听说,тинг шуо,тинг шуо,тинг шуо,тин шо,тинг шуо
停,тинг,тинг,тынг,тин,тинг
停车,тинг че,тинг че,тынг че,тин чэ,тинг че
停车场,тинг че чанг,тинг че чанг,тынг че чаанг,тин чэ чан,тинг че чанг
挺,тинг,тинг,тиинг,тин,тинг
挺好,тинг хао,тинг хао,тиинг хао,тин хао,тинг хао
通,тонг,тунг,тонг,тун,тонг
通过,тонг гуо,тунг куо,тонг гуох,тун го,тонг гуо
通知,тонг жи,тунг чих,тонг йы,тун чжи,тонг чи
同时,тонг ши,тунг ших,торнг шыр,тун ши,тонг ши
同事,тонг ши,тунг ших,торнг шых,тун ши,тонг ши
同样,тонг ыанг,тунг ыанг,торнг ыанк,тун ян,тонг ыанг
头,тоу,тоу,тоур,тоу,тоу
头,тоу,тоу,тоур,тоу,тоу
头发,тоу фа,тоу фа,тоур фа,тоу фа,тоу фа
图片,ту пиан,ту пиен,туоу пианн,ту пянь,ту пиан
推,туи,туи,туеи,туй,туи
腿,туи,туи,тоеи,туй,туи
外地,уоаи ди,уоаи ти,уоаы дих,вай ди,уоаи ди
外卖,уоаи маи,уоаи маи,уоаы маы,вай май,уоаи маи
完,уоан,уоан,уоан,вань,уоан
完成,уоан ченг,уоан ченг,уоан чернг,вань чэн,уоан ченг
完全,уоан куан,уоан чуан,уоан чыуан,вань цюань,уоан чуан
晚安,уоан ан,уоан ан,уооан ан,вань ань,уоан ан
晚报,уоан бао,уоан пао,уооан бауо,вань бао,уоан бао
晚餐,уоан цан,уоан цан,уооан цан,вань цань,уоан цан
晚会,уоан хуи,уоан хуи,уооан хуеы,вань хуэй,уоан хуи
碗,уоан,уоан,уооан,вань,уоан
网,уоанг,уоанг,уооанг,ван,уоанг
网球,уоанг киу,уоанг чиу,уооанг чыоу,ван цю,уоанг чиу
网站,уоанг жан,уоанг чан,уооанг янн,ван чжань,уоанг чан
往,уоанг,уоанг,уооанг,ван,уоанг
为,уоеи,уоеи,уоеы,вэй,уоеи
为什么,уоеи ши ыао,уоеи шен ме,уоеы шерн ме,вэй ши яо,уоеи ши ме
位,уоеи,уоеи,уоеы,вэй,уоеи
喂,уоеи,уоеи,уоеы,вэй,уоеи
温度,уоен ду,уоен ту,уен дух,вэнь ду,уоен ду
闻,уоен,уоен,уоен,вэнь,уоен
问路,уоен лу,уоен лу,уоенн лух,вэнь лу,уоен лу
问题,уоен ти,уоен ти,уоенн тыи,вэнь ти,уоен ти
午餐,уоу цан,уоу цан,уоуу цан,у цань,уоу цан
午睡,уоу шуи,уоу шуи,уоуу шуеы,у шуй,уоу шуи
西北,xи беи,хси пеи,ши бееи,си бэй,xи беи
西餐,xи цан,хси цан,ши цан,си цань,xи цан
西方,xи фанг,хси фанг,ши фанг,си фан,xи фанг
西南,xи нан,хси нан,ши нан,си,xи на
西医,xи ыи,хси и,ши и,си и,xи и
习惯,xи гуан,хси куан,шыи гуанн,си гуань,xи гуан
洗衣机,xи ыи йи,хси и чи,шии и йи,си и цзи,xи и йи
洗澡,xи зао,хси цао,шии тзао,си цзао,xи цао
下,xиа,хсиа,шиах,ся,xиа
下雪,xиа xуе,хсиа хсуех,шиах шеуе,ся сюэ,xиа xуу
下周,xиа жоу,хсиа чоу,шиах йоу,ся чжоу,xиа чоу
夏天,xиа тиан,хсиа тиен,шиах тиан,ся тянь,xиа тиан
相同,xианг тонг,хсианг тунг,шианг торнг,сян тун,xианг тонг
相信,xианг xин,хсианг хсин,шианг шинн,сян синь,xианг xинн
响,xианг,хсианг,шеанг,сян,xианг
想到,xианг дао,хсианг тао,шеанг дауо,сян дао,xианг дао
想法,xианг фа,хсианг фа,шеанг фаа,сян фа,xианг фа
想起,xианг ки,хсианг чи,шеанг чии,сян ци,xианг чи
向,xианг,хсианг,шианк,сян,xианг
相机,xианг йи,хсианг чи,шианк йи,сян цзи,xианг йи
像,xианг,хсианг,шианк,сян,xианг
小,xиао,хсиао,шеау,сяо,xиао
小声,xиао шенг,хсиао шенг,шеау шенг,сяо шэн,xиао шенг
小时候,xиао ши хоу,хсиао ших хоу,шеау шыр хоу,сяо ши хоу,xиао ши хоу
小说,xиао шуо,хсиао шуо,шеау шуо,сяо шо,xиао шуо
小心,xиао xин,хсиао хсин,шеау шин,сяо синь,xиао xин
小组,xиао зу,хсиао цу,шеау тзуу,сяо цзу,xиао цу
校园,xиао ыуан,хсиао ыуан,шиауо ыуан,сяо юань,xиао ыуан
校长,xиао чанг,хсиао чанг,шиауо яанг,сяо чан,xиао чанг
笑话,xиао хуа,хсиао хуа,шиауо хуа,сяо хуа,xиао хуа
鞋,xие,хсиех,шые,се,xие
心里,xин ли,хсин ли,шин лии,синь ли,xин ли
心情,xин кинг,хсин чинг,шин чынг,синь цин,xин чинг
心中,xин жонг,хсин чунг,шин йонг,синь чжун,xин чонг
新闻,xин уоен,хсин уоен,шин уоен,синь вэнь,xин уоен
信,xин,хсин,шинн,синь,xинн
信号,xин хао,хсин хао,шинн хауо,синь хао,xинн хао
信息,xин xи,хсин хси,шинн ши,синь си,xинн xи
信心,xин xин,хсин хсин,шинн шин,синь синь,xинн xин
信用卡,xин ыонг киа,хсин ыунг ка,шинн ыонк каа,синь юн ця,xинн ыонг ка
星星,xинг xинг,хсинг xинг,шинг xинг,син син,xинг xинг
行动,xинг донг,хсинг тунг,шынг донк,син дун,xинг донг
行人,xинг рен,хсинг йен,шынг рен,син жэнь,xинг рен
行为,xинг уоеи,хсинг уоеи,шынг уоеи,син вэй,xинг уоеи
姓,xинг,хсинг,шинк,син,xинг
姓名,xинг минг,хсинг минг,шинк минг,син мин,xинг минг
休假,xиу йиа,хсиу чиа,шиоу йиах,сю цзя,xиу йиа
许多,xу дуо,хсу то,шеу дуо,сюй до,xуу ду
选,xуан,хсуан,шеуан,сюань,xуанн
学期,xуе ки,хсуех чи,шыуе чи,сюэ ци,xуу чи
雪,xуе,хсуех,шеуе,сюэ,xуу
颜色,ыан се,ыан се,ыан сех,янь сэ,ыан се
眼,ыан,ыан,ыеан,янь,ыан
眼睛,ыан йинг,ыан йинг,ыеан йинг,янь цзин,ыан йинг
养,ыанг,ыанг,ыеанг,ян,ыанг
样子,ыанг зи,ыанг зи,ыанк зи,ян цзы,ыанг зи
要求,ыао киу,ыао чиу,иау чыоу,яо цю,ыао чиу
药,ыао,ыао,ыауо,яо,ыао
药店,ыао диан,ыао тиен,ыауо дианн,яо дянь,ыао диан
药片,ыао пиан,ыао пиен,ыауо пианн,яо пянь,ыао пиан
药水,ыао шуи,ыао шуи,ыауо шоеи,яо шуй,ыао шуи
也许,ые xу,ыех хсу,ыее шеу,е сюй,ые xуу
夜,ые,ыех,ыех,е,ые
已经,ыи йинг,и чинг,ыии йинг,и цзин,ыи йинг
以后,ыи хоу,и хоу,ыии хоуо,и хоу,ыи хоу
以前,ыи киан,и чиен,ыии чыан,и цянь,ыи чиан
以上,ыи шанг,и шанг,ыии шанк,и шан,ыи шанг
以外,ыи уоаи,и уоаи,ыии уоаы,и вай,ыи уоаи
以为,ыи уоеи,и уоеи,ыии уоеи,и вэй,ыи уоеи
以下,ыи xиа,и хсиа,ыии шиах,и ся,ыи xиа
椅子,ыи зи,и зи,ыии зи,и цзы,ыи зи
亿,ыи,и,ыих,и,ыи
意见,ыи йиан,и чиен,ыих йианн,и цзянь,ыи йиан
意思,ыи си,и си,ыих си,и сы,ыи си
因为,ыин уоеи,ыин уоеи,ин уоеы,инь вэй,ыин уоеи
阴,ыин,ыин,ин,инь,ыин
阴天,ыин тиан,ыин тиен,ин тиан,инь тянь,ыин тиан
音节,ыин йие,ыин чиех,ин йые,инь цзе,ыин йие
音乐,ыин ле,ыин ыуех,ин ыуех,инь лэ,ыин лу
音乐会,ыин ле хуи,ыин ыуех хуи,ин ыуех хуеы,инь лэ хуэй,ыин лу хуи
银行,ыин xинг,ыин ханг,ын харнг,инь син,ыин хинг
银行卡,ыин xинг киа,ыин ханг ка,ын харнг каа,инь син ця,ыин хинг ка
应该,ыинг гаи,ыинг каи,инг гаи,ин гай,ыин гаи
英文,ыинг уоен,ыинг уоен,инг уоен,ин вэнь,ыин уоен
英语,ыинг ыу,ыинг ыу,инг ыеу,ин юй,ыин ыу
影片,ыинг пиан,ыинг пиен,ыиинг пианн,ин пянь,ыинг пиан
影响,ыинг xианг,ыинг хсианг,ыиинг шеанг,ин сян,ыинг xианг
永远,ыонг ыуан,ыунг ыуан,ыеонг ыеуан,юн юань,ыонг ыуан
油,ыоу,ыу,ыоу,ю,ыо
游客,ыоу ке,ыу ко,ыоу кех,ю кэ,ыо ке
友好,ыоу хао,ыу хао,ыеоу хао,ю хао,ыо хао
有人,ыоу рен,ыу йен,ыеоу рен,ю жэнь,ыо рен
有点儿,ыоу диан ер,ыу тиен р,ыеоу деан р,ю дянь эр,ыо диан рр
有意思,ыоу ыи си,ыу и си,ыеоу ыих си,ю и сы,ыо ыи си
又,ыоу,ыу,ыоуо,ю,ыо
鱼,ыу,ыу,ыу,юй,ыу
语言,ыу ыан,ыу ыан,ыеу ыан,юй янь,ыу ыан
原来,ыуан лаи,ыуан лаи,ыуан лаи,юань лай,ыуан лаи
原因,ыуан ыин,ыуан ыин,ыуан ин,юань инь,ыуан ыин
院,ыуан,ыуан,ыуанн,юань,ыуан
院长,ыуан чанг,ыуан чанг,ыуанн яанг,юань чан,ыуан чанг
院子,ыуан зи,ыуан зи,ыуанн зи,юань цзы,ыуан зи
愿意,ыуан ыи,ыуан и,ыуанн ыих,юань и,ыуан ыи
月份,ыуе фен,ыуех фен,ыуех фенн,юэ фэнь,ыуе фен
月亮,ыуе лианг,ыуех лианг,ыуех лианг,юэ лян,ыуе лиан
越,ыуе,ыуех,ыуех,юэ,ыуе
越来越,ыуе лаи ыуе,ыуех лаи ыуех,ыуех лаи ыуех,юэ лай юэ,ыуе лаи ыуе
云,ыун,ыун,ыун,юнь,ыун
运动,ыун донг,ыун тунг,ыунн донк,юнь дун,ыун донг
咱,зан,цан,тзарн,цзань,цан
咱们,зан мен,цан мен,тзарн мен,цзань мэнь,цан мен
早餐,зао цан,цао цан,тзао цан,цзао цань,цао цан
早晨,зао чен,цао чен,тзао черн,цзао чэнь,цао чен
早就,зао йиу,цао чиу,тзао йиоуо,цзао цзю,цао йиу
怎么办,зен ыао бан,цен ме пан,тзеен ме банн,цзэнь яо бань,цен ме бан
怎么样,зен ыао ыанг,цен ме ыанг,тзеен ме ыанк,цзэнь яо ян,цен ме ыанг
怎样,зен ыанг,цен ыанг,тзеен ыанк,цзэнь ян,цен ыанг
占,жан,чан,янн,чжань,чан
站,жан,чан,янн,чжань,чан
站住,жан жу,чан чу,янн юх,чжань чжу,чан чу
长,чанг,чанг,яанг,чан,чанг
长大,чанг да,чанг та,яанг дах,чан да,чанг да
找出,жао чу,чао чу,яо чу,чжао чу,чао чу
照片,жао пиан,чао пиен,яуо пианн,чжао пянь,чао пиан
照相,жао xианг,чао хсианг,яуо шианк,чжао сян,чао xианг
这么,же ыао,че ме,йех ме,чжэ яо,че ме
这样,же ыанг,че ыанг,йех ыанк,чжэ ян,че ыанг
真正,жен женг,чен ченг,йен йенк,чжэнь чжэн,чен ченг
正常,женг чанг,ченг чанг,йенк чарнг,чжэн чан,ченг чанг
正好,женг хао,ченг хао,йенк хао,чжэн хао,ченг хао
正确,женг куе,ченг чуех,йенк чиуех,чжэн цюэ,ченг чуе
正是,женг ши,ченг ших,йенк шых,чжэн ши,ченг ши
直接,жи йие,чих чиех,йыр йие,чжи цзе,чи йие
只,жи,чих,йыы,чжи,чи
只能,жи ненг,чих ненг,йыы ненг,чжи нэн,чи ненг
只要,жи ыао,чих ыао,йыы ыауо,чжи яо,чи ыао
纸,жи,чих,йыы,чжи,чи
中餐,жонг цан,чунг цан,йонг цан,чжун цань,чонг цан
中级,жонг йи,чунг чи,йонг йыи,чжун цзи,чонг йи
中年,жонг ниан,чунг ниен,йонг ниан,чжун нянь,чонг ниан
中小学,жонг xиао xуе,чунг хсиао хсуех,йонг шеау шыуе,чжун сяо сюэ,чонг xиао xуу
中心,жонг xин,чунг хсин,йонг шин,чжун синь,чонг xин
中医,жонг ыи,чунг и,йонг и,чжун и,чонг и
重视,жонг ши,чунг ших,йонк шых,чжун ши,чонг ши
周,жоу,чоу,йоу,чжоу,чоу
周末,жоу мо,чоу мо,йоу мох,чжоу мо,чоу мо
周年,жоу ниан,чоу ниен,йоу ниан,чжоу нянь,чоу ниан
主人,жу рен,чу йен,юу рен,чжу жэнь,чу рен
主要,жу ыао,чу ыао,юу ыауо,чжу яо,чу ыао
住房,жу фанг,чу фанг,юх фарнг,чжу фан,чу фанг
住院,жу ыуан,чу ыуан,юх ыуанн,чжу юань,чу ыуан
装,жуанг,чуанг,юанг,чжуан,чуанг
准确,жун куе,чун чуех,йоен чиуех,чжунь цюэ,чун чуе
自己,зи йи,тзу чи,тзых йии,цзы цзи,тзы йи
自行车,зи xинг че,тзу хсинг че,тзых шынг че,цзы син чэ,тзы xинг че
自由,зи ыоу,тзу ыу,тзых ыоу,цзы ю,тзы ыо
字典,зи диан,тзу тиен,тзых деан,цзы дянь,тзы диан
走过,зоу гуо,цоу куо,тзооу гуох,цзоу го,цоу гуо
走进,зоу йин,цоу чин,тзооу йинн,цзоу цзинь,цоу йин
走开,зоу каи,цоу каи,тзооу каи,цзоу кай,цоу каи
租,зу,цу,тзу,цзу,цу
组,зу,цу,тзуу,цзу,цу
组成,зу ченг,цу ченг,тзуу чернг,цзу чэн,цу ченг
组长,зу чанг,цу чанг,тзуу яанг,цзу чан,цу чанг
嘴,зуи,цуи,тзоеи,цзуй,цуи
最近,зуи йин,цуи чин,тзуеы йинн,цзуй цзинь,цуи йин
作家,зуо йиа,цо чиа,тзуох йиа,цзо цзя,цзо йиа
作文,зуо уоен,цо уоен,тзуох уоен,цзо вэнь,цзо уоен
作业,зуо ые,цо ыех,тзуох ыех,цзо е,цзо ые
作用,зуо ыонг,цо ыунг,тзуох ыонк,цзо юн,цзо ыонг
座,зуо,цо,тзуох,цзо,цзо
座位,зуо уоеи,цо уоеи,тзуох уоеы,цзо вэй,цзо уоеи
做到,зуо дао,цо тао,тзуох дауо,цзо дао,цзо дао
做法,зуо фа,цо фа,тзуох фаа,цзо фа,цзо фа
爱心,аи xин,аи хсин,аы шин,ай синь,аи xин
安排,ан паи,ан паи,ан паир,ань пай,ан паи
安装,ан жуанг,ан чуанг,ан юанг,ань чжуан,ан чуанг
按,ан,ан,анн,ань,ан
按照,ан жао,ан чао,анн яуо,ань чжао,ан чао
把,ба,па,баа,ба,ба
把,ба,па,баа,ба,ба
把握,ба уоо,па уоо,баа уоох,ба во,ба уоо
白,баи,паи,баир,бай,баи
白菜,баи цаи,паи цаи,баир цаы,бай цай,баи цаи
班级,бан йи,пан чи,бан йыи,бань цзи,бан йи
搬,бан,пан,бан,бань,бан
搬家,бан йиа,пан чиа,бан йиа,бань цзя,бан йиа
板,бан,пан,баан,бань,бан
办理,бан ли,пан ли,банн лии,бань ли,бан ли
保,бао,пао,бао,бао,бао
保安,бао ан,пао ан,бао ан,бао ань,бао ан
保持,бао чи,пао чих,бао чыр,бао чи,бао чи
保存,бао цун,пао цун,бао цуоен,бао цунь,бао цун
保护,бао ху,пао ху,бао хух,бао ху,бао ху
保留,бао лиу,пао лиу,бао лиоу,бао лю,бао лиу
保险,бао xиан,пао хсиен,бао шеан,бао сянь,бао xиан
保证,бао женг,пао ченг,бао йенк,бао чжэн,бао ченг
报,бао,пао,бауо,бао,бао
报到,бао дао,пао тао,бауо дауо,бао дао,бао дао
报道,бао дао,пао тао,бауо дауо,бао дао,бао дао
报告,бао гао,пао као,бауо гауо,бао гао,бао гао
背,беи,пеи,беы,бэй,беи
北部,беи бу,пеи пу,бееи бух,бэй бу,беи бу
背,беи,пеи,беы,бэй,беи
背后,беи хоу,пеи хоу,беы хоуо,бэй хоу,беи хоу
被,беи,пеи,беы,бэй,беи
被子,беи зи,пеи зи,беы зи,бэй цзы,беи зи
本来,бен лаи,пен лаи,беен лаи,бэнь лай,бен лаи
本领,бен линг,пен линг,беен лиинг,бэнь лин,бен линг
比较,би йиао,пи чиао,бии йиауо,би цзяо,би йиао
比例,би ли,пи ли,бии лих,би ли,би ли
比赛,би саи,пи саи,бии саы,би сай,би саи
必然,би ран,пи ян,бих ран,би жань,би ран
必要,би ыао,пи ыао,бих ыауо,би яо,би ыао
变化,биан хуа,пиен хуа,бианн хуах,бянь хуа,биан хуа
变为,биан уоеи,пиен уоеи,бианн уоеи,бянь вэй,биан уоеи
标题,биао ти,пиао ти,биау тыи,бяо ти,биао ти
标准,биао жун,пиао чун,биау йоен,бяо чжунь,биао чун
表达,биао да,пиао та,беау дар,бяо да,биао да
表格,биао ге,пиао ко,беау гер,бяо гэ,биао ге
表面,биао миан,пиао миен,беау мианн,бяо мянь,биао миан
表明,биао минг,пиао минг,беау минг,бяо мин,биао минг
表现,биао xиан,пиао хсиен,беау шианн,бяо сянь,биао xиан
表演,биао ыан,пиао ыан,беау ыеан,бяо янь,биао ыан
并,бинг,пинг,бинк,бин,бинг
并且,бинг кие,пинг чиех,бинк чиее,бин це,бинг чие
播出,бо чу,по чу,бо чу,бо чу,бо чу
播放,бо фанг,по фанг,бо фанк,бо фан,бо фанг
补,бу,пу,буу,бу,бу
补充,бу чонг,пу чунг,буу чонг,бу чун,бу чонг
不安,бу ан,пу ан,бух ан,бу ань,бу ан
不得不,бу де бу,пу те пу,бух дер бух,бу дэ бу,бу де бу
不光,бу гуанг,пу куанг,бух гуанг,бу гуан,бу гуанг
不仅,бу йин,пу чин,бух йиин,бу цзинь,бу йин
布,бу,пу,бух,бу,бу
步,бу,пу,бух,бу,бу
部,бу,пу,бух,бу,бу
部门,бу мен,пу мен,бух мен,бу мэнь,бу мен
部长,бу чанг,пу чанг,бух яанг,бу чан,бу чанг
才能,цаи ненг,цаи ненг,цаир ненг,цай нэн,цаи ненг
采取,цаи ку,цаи чу,цае чеу,цай цюй,цаи чу
采用,цаи ыонг,цаи ыунг,цае ыонк,цай юн,цаи ыонг
彩色,цаи се,цаи се,цае сех,цай сэ,цаи се
曾经,ценг йинг,ценг чинг,цернг йинг,цэн цзин,ценг йинг
产生,чан шенг,чан шенг,чаан шенг,чань шэн,чан шенг
长城,чанг ченг,чанг ченг,чарнг чернг,чан чэн,чанг ченг
