Chinese,Pinyin,Wade-Giles,Romatzyh,Palladiy
座,zuo,tso⁴,tzuoh,цзо
座位,zuo wei,tso⁴ wei⁴,tzuoh wey,цзо вэй
做到,zuo dao,tso⁴ tao⁴,tzuoh daw,цзо дао
做法,zuo fa,tso⁴ fa³,tzuoh faa,цзо фа
爱心,ai xin,ai⁴ hsin¹,ay shin,ай синь
安排,an pai,an¹ p'ai²,an pair,ань пай
安装,an zhuang,an¹ chuang¹,an juang,ань чжуан
按,an,an⁴,ann,ань
按照,an zhao,an⁴ chao⁴,ann jaw,ань чжао
把,ba,pa³,baa,ба
把,ba,pa³,baa,ба
把握,ba wo,pa³ wo⁴,baa woh,ба во
白,bai,pai²,bair,бай
白菜,bai cai,pai² ts'ai⁴,bair tsay,бай цай
班级,ban ji,pan¹ chi²,ban jyi,бань цзи
搬,ban,pan¹,ban,бань
搬家,ban jia,pan¹ chia¹,ban jia,бань цзя
板,ban,pan³,baan,бань
办理,ban li,pan⁴ li³,bann lii,бань ли
保,bao,pao³,bao,бао
保安,bao an,pao³ an¹,bao an,бао ань
保持,bao chi,pao³ ch'ih²,bao chyr,бао чи
保存,bao cun,pao³ ts'un²,bao tswen,бао цунь
保护,bao hu,pao³ hu⁴,bao huh,бао ху
保留,bao liu,pao³ liu²,bao liou,бао лю
保险,bao xian,pao³ hsien³,bao shean,бао сянь
保证,bao zheng,pao³ cheng⁴,bao jenq,бао чжэн
报,bao,pao⁴,baw,бао
报到,bao dao,pao⁴ tao⁴,baw daw,бао дао
报道,bao dao,pao⁴ tao⁴,baw daw,бао дао
报告,bao gao,pao⁴ kao⁴,baw gaw,бао гао
背,bei,pei⁴,bey,бэй
北部,bei bu,pei³ pu⁴,beei buh,бэй бу
背,bei,pei⁴,bey,бэй
背后,bei hou,pei⁴ hou⁴,bey how,бэй хоу
被,bei,pei⁴,bey,бэй
被子,bei zi,pei⁴ zi,bey zi,бэй цзы
本来,ben lai,pen³ lai²,been lai,бэнь лай
本领,ben ling,pen³ ling³,been liing,бэнь лин
比较,bi jiao,pi³ chiao⁴,bii jiaw,би цзяо
比例,bi li,pi³ li⁴,bii lih,би ли
比赛,bi sai,pi³ sai⁴,bii say,би сай
必然,bi ran,pi⁴ jan²,bih ran,би жань
必要,bi yao,pi⁴ yao⁴,bih yaw,би яо
变化,bian hua,pien⁴ hua⁴,biann huah,бянь хуа
变为,bian wei,pien⁴ wei²,biann wei,бянь вэй
标题,biao ti,piao¹ t'i²,biau tyi,бяо ти
标准,biao zhun,piao¹ chun³,biau joen,бяо чжунь
表达,biao da,piao³ ta²,beau dar,бяо да
表格,biao ge,piao³ ko²,beau ger,бяо гэ
表面,biao mian,piao³ mien⁴,beau miann,бяо мянь
表明,biao ming,piao³ ming²,beau ming,бяо мин
表现,biao xian,piao³ hsien⁴,beau shiann,бяо сянь
表演,biao yan,piao³ yan³,beau yean,бяо янь
并,bing,ping⁴,binq,бин
并且,bing qie,ping⁴ ch'ieh³,binq chiee,бин це
播出,bo chu,po¹ ch'u¹,bo chu,бо чу
播放,bo fang,po¹ fang⁴,bo fanq,бо фан
补,bu,pu³,buu,бу
补充,bu chong,pu³ ch'ung¹,buu chong,бу чун
不安,bu an,pu⁴ an¹,buh an,бу ань
不得不,bu de bu,pu⁴ te² pu⁴,buh der buh,бу дэ бу
不光,bu guang,pu⁴ kuang¹,buh guang,бу гуан
不仅,bu jin,pu⁴ chin³,buh jiin,бу цзинь
布,bu,pu⁴,buh,бу
步,bu,pu⁴,buh,бу
部,bu,pu⁴,buh,бу
部门,bu men,pu⁴ men²,buh men,бу мэнь
部长,bu chang,pu⁴ chang³,buh jaang,бу чан
才能,cai neng,ts'ai² neng²,tsair neng,цай нэн
采取,cai qu,ts'ai³ ch'ü³,tsae cheu,цай цюй
采用,cai yong,ts'ai³ yung⁴,tsae yonq,цай юн
彩色,cai se,ts'ai³ se⁴,tsae seh,цай сэ
曾经,ceng jing,ts'eng² ching¹,tserng jing,цэн цзин
产生,chan sheng,ch'an³ sheng¹,chaan sheng,чань шэн
长城,chang cheng,ch'ang² ch'eng²,charng cherng,чан чэн
长处,chang chu,ch'ang² ch'u⁴,charng chuh,чан чу
长期,chang qi,ch'ang² ch'i¹,charng chi,чан ци
场合,chang he,ch'ang³ ho²,chaang her,чан хэ
场所,chang suo,ch'ang³ so³,chaang suoo,чан со
超级,chao ji,ch'ao¹ chi²,chau jyi,чао цзи
朝,zhao,ch'ao²,chaur,чжао
吵,chao,ch'ao³,chao,чао
吵架,chao jia,ch'ao³ chia⁴,chao jiah,чао цзя
衬衫,chen shan,ch'en⁴ shan¹,chenn shan,чэнь шань
衬衣,chen yi,ch'en⁴ i¹,chenn i,чэнь и
称为,cheng wei,ch'eng¹ wei²,cheng wei,чэн вэй
成功,cheng gong,ch'eng² kung¹,cherng gong,чэн гун
成果,cheng guo,ch'eng² kuo³,cherng guoo,чэн го
成就,cheng jiu,ch'eng² chiu⁴,cherng jiow,чэн цзю
成立,cheng li,ch'eng² li⁴,cherng lih,чэн ли
成熟,cheng shu,ch'eng² shu²,cherng shwu,чэн шу
成员,cheng yuan,ch'eng² yüan²,cherng yuan,чэн юань
成长,cheng chang,ch'eng² chang³,cherng jaang,чэн чан
城,cheng,ch'eng²,cherng,чэн
城市,cheng shi,ch'eng² shih⁴,cherng shyh,чэн ши
程度,cheng du,ch'eng² tu⁴,cherng duh,чэн ду
持续,chi xu,ch'ih² hsü⁴,chyr shiuh,чи сюй
充满,chong man,ch'ung¹ man³,chong maan,чун мань
初,chu,ch'u¹,chu,чу
初,chu,ch'u¹,chu,чу
初步,chu bu,ch'u¹ pu⁴,chu buh,чу бу
初级,chu ji,ch'u¹ chi²,chu jyi,чу цзи
初中,chu zhong,ch'u¹ chung¹,chu jong,чу чжун
除了,chu le,ch'u² le,chwu le,чу лэ
处理,chu li,ch'u³ li³,chuu lii,чу ли
传,chuan,ch'uan²,chwan,чуань
传播,chuan bo,ch'uan² po¹,chwan bo,чуань бо
传来,chuan lai,ch'uan² lai²,chwan lai,чуань лай
传说,chuan shuo,ch'uan² shuo¹,chwan shuo,чуань шо
创新,chuang xin,ch'uang⁴ hsin¹,chuanq shin,чуан синь
创业,chuang ye,ch'uang⁴ yeh⁴,chuanq yeh,чуан е
创造,chuang zao,ch'uang⁴ tsao⁴,chuanq tzaw,чуан цзао
创作,chuang zuo,ch'uang⁴ tso⁴,chuanq tzuoh,чуан цзо
从来,cong lai,ts'ung² lai²,tsorng lai,цун лай
从前,cong qian,ts'ung² ch'ien²,tsorng chyan,цун цянь
从事,cong shi,ts'ung² shih⁴,tsorng shyh,цун ши
村,cun,ts'un¹,tsuen,цунь
存,cun,ts'un²,tswen,цунь
存在,cun zai,ts'un² tsai⁴,tswen tzay,цунь цзай
错误,cuo wu,ts'o⁴ wu⁴,tsuoh wuh,цо у
达到,da dao,ta² tao⁴,dar daw,да дао
打破,da po,ta³ p'o⁴,daa poh,да по
打听,da ting,ta³ ting,daa ting,да тин
大概,da gai,ta⁴ kai⁴,dah gay,да гай
大使馆,da shi guan,ta⁴ shih³ kuan³,dah shyy goan,да ши гуань
大约,da yue,ta⁴ yüeh¹,dah iue,да юэ
代,dai,tai⁴,day,дай
代表,dai biao,tai⁴ piao³,day beau,дай бяо
代表团,dai biao tuan,tai⁴ piao³ t'uan²,day beau twan,дай бяо туань
带动,dai dong,tai⁴ tung⁴,day donq,дай дун
带领,dai ling,tai⁴ ling³,day liing,дай лин
单元,dan yuan,tan¹ yüan²,dan yuan,дань юань
当初,dang chu,tang¹ ch'u¹,dang chu,дан чу
当地,dang di,tang¹ ti⁴,dang dih,дан ди
当然,dang ran,tang¹ jan²,dang ran,дан жань
当中,dang zhong,tang¹ chung¹,dang jong,дан чжун
刀,dao,tao¹,dau,дао
导演,dao yan,tao³ yan³,dao yean,дао янь
到达,dao da,tao⁴ ta²,daw dar,дао да
到底,dao di,tao⁴ ti³,daw dii,дао ди
得分,de fen,te² fen¹,der fen,дэ фэнь
等待,deng dai,teng³ tai⁴,deeng day,дэн дай
地区,di qu,ti⁴ ch'ü¹,dih chiu,ди цюй
电视剧,dian shi ju,tien⁴ shih⁴ chü⁴,diann shyh jiuh,дянь ши цзюй
电视台,dian shi tai,tien⁴ shih⁴ t'ai²,diann shyh tair,дянь ши тай
电台,dian tai,tien⁴ t'ai²,diann tair,дянь тай
电子邮件,dian zi you jian,tien⁴ tzu³ yu² chien⁴,diann tzyy you jiann,дянь цзы ю цзянь
调,diao,tiao⁴,diaw,дяо
调查,diao cha,tiao⁴ ch'a²,diaw char,дяо ча
订,ding,ting⁴,dinq,дин
定期,ding qi,ting⁴ ch'i¹,dinq chi,дин ци
东部,dong bu,tung¹ pu⁴,dong buh,дун бу
动力,dong li,tung⁴ li⁴,donq lih,дун ли
动人,dong ren,tung⁴ jen²,donq ren,дун жэнь
读者,du zhe,tu² che³,dwu jee,ду чжэ
短处,duan chu,tuan³ ch'u⁴,doan chuh,дуань чу
短裤,duan ku,tuan³ k'u⁴,doan kuh,дуань ку
短期,duan qi,tuan³ ch'i¹,doan chi,дуань ци
断,duan,tuan⁴,duann,дуань
队员,dui yuan,tui⁴ yüan²,duey yuan,дуй юань
对待,dui dai,tui⁴ tai⁴,duey day,дуй дай
对方,dui fang,tui⁴ fang¹,duey fang,дуй фан
对手,dui shou,tui⁴ shou³,duey shoou,дуй шоу
对象,dui xiang,tui⁴ hsiang⁴,duey shianq,дуй сян
顿,dun,tun⁴,duenn,дунь
发表,fa biao,fa¹ piao³,fa beau,фа бяо
发出,fa chu,fa¹ ch'u¹,fa chu,фа чу
发达,fa da,fa¹ ta²,fa dar,фа да
发动,fa dong,fa¹ tung⁴,fa donq,фа дун
发明,fa ming,fa¹ ming²,fa ming,фа мин
发生,fa sheng,fa¹ sheng¹,fa sheng,фа шэн
发送,fa song,fa¹ sung⁴,fa sonq,фа сун
发言,fa yan,fa¹ yan²,fa yan,фа янь
发展,fa zhan,fa¹ chan³,fa jaan,фа чжань
反对,fan dui,fan³ tui⁴,faan duey,фань дуй
反复,fan fu,fan³ fu⁴,faan fuh,фань фу
反应,fan ying,fan³ ying⁴,faan yinq,фань ин
反正,fan zheng,fan³ cheng⁴,faan jenq,фань чжэн
范围,fan wei,fan⁴ wei²,fann wei,фань вэй
方式,fang shi,fang¹ shih⁴,fang shyh,фан ши
防,fang,fang²,farng,фан
防止,fang zhi,fang² chih³,farng jyy,фан чжи
房东,fang dong,fang² tung¹,farng dong,фан дун
房屋,fang wu,fang² wu¹,farng u,фан у
房租,fang zu,fang² tsu¹,farng tzu,фан цзу
访问,fang wen,fang³ wen⁴,faang wenn,фан вэнь
放到,fang dao,fang⁴ tao⁴,fanq daw,фан дао
飞行,fei xing,fei¹ hsing²,fei shyng,фэй син
费,fei,fei⁴,fey,фэй
费用,fei yong,fei⁴ yung⁴,fey yonq,фэй юн
分别,fen bie,fen¹ pieh²,fen bye,фэнь бе
分配,fen pei,fen¹ p'ei⁴,fen pey,фэнь пэй
分组,fen zu,fen¹ tsu³,fen tzuu,фэнь цзу
丰富,feng fu,feng¹ fu⁴,feng fuh,фэн фу
风险,feng xian,feng¹ hsien³,feng shean,фэн сянь
否定,fou ding,fou³ ting⁴,foou dinq,фоу дин
否认,fou ren,fou³ jen⁴,foou renn,фоу жэнь
服装,fu zhuang,fu² chuang¹,fwu juang,фу чжуан
福,fu,fu²,fwu,фу
父母,fu mu,fu⁴ mu³,fuh muu,фу му
父亲,fu qin,fu⁴ ch'in¹,fuh chin,фу цинь
付,fu,fu⁴,fuh,фу
负责,fu ze,fu⁴ tse²,fuh tzer,фу цзэ
复印,fu yin,fu⁴ yin⁴,fuh yinn,фу инь
复杂,fu za,fu⁴ tsa²,fuh tzar,фу цза
富,fu,fu⁴,fuh,фу
改进,gai jin,kai³ chin⁴,gae jinn,гай цзинь
改造,gai zao,kai³ tsao⁴,gae tzaw,гай цзао
概念,gai nian,kai⁴ nien⁴,gay niann,гай нянь
赶,gan,kan³,gaan,гань
赶到,gan dao,kan³ tao⁴,gaan daw,гань дао
赶紧,gan jin,kan³ chin³,gaan jiin,гань цзинь
赶快,gan kuai,kan³ k'uai⁴,gaan kuay,гань куай
敢,gan,kan³,gaan,гань
感冒,gan mao,kan³ mao⁴,gaan maw,гань мао
感情,gan qing,kan³ ch'ing²,gaan chyng,гань цин
感受,gan shou,kan³ shou⁴,gaan show,гань шоу
干吗,gan ma,kan⁴ ma²,gann ma,гань ма
高速,gao su,kao¹ su⁴,gau suh,гао су
高速公路,gao su gong lu,kao¹ su⁴ kung¹ lu⁴,gau suh gong luh,гао су гун лу
告别,gao bie,kao⁴ pieh²,gaw bye,гао бе
歌迷,ge mi,ko¹ mi²,ge mi,гэ ми
歌声,ge sheng,ko¹ sheng¹,ge sheng,гэ шэн
歌手,ge shou,ko¹ shou³,ge shoou,гэ шоу
个人,ge ren,ko⁴ jen²,geh ren,гэ жэнь
个性,ge xing,ko⁴ hsing⁴,geh shinq,гэ син
各,ge,ko⁴,geh,гэ
各地,ge di,ko⁴ ti⁴,geh dih,гэ ди
各位,ge wei,ko⁴ wei⁴,geh wey,гэ вэй
各种,ge zhong,ko⁴ chung³,geh joong,гэ чжун
各自,ge zi,ko⁴ tzu⁴,geh tzyh,гэ цзы
根本,gen ben,ken¹ pen³,gen been,гэнь бэнь
更加,geng jia,keng⁴ chia¹,genq jia,гэн цзя
工厂,gong chang,kung¹ ch'ang³,gong chaang,гун чан
工程师,gong cheng shi,kung¹ ch'eng² shih¹,gong cherng shy,гун чэн ши
工夫,gong fu,kung¹ fu,gong fu,гун фу
工具,gong ju,kung¹ chü⁴,gong jiuh,гун цзюй
工业,gong ye,kung¹ yeh⁴,gong yeh,гун е
工资,gong zi,kung¹ tzu¹,gong tzy,гун цзы
公布,gong bu,kung¹ pu⁴,gong buh,гун бу
公共,gong gong,kung¹ kung⁴,gong gonq,гун гун
公开,gong kai,kung¹ k'ai¹,gong kai,гун кай
公民,gong min,kung¹ min²,gong min,гун минь
公务员,gong wu yuan,kung¹ wu⁴ yüan²,gong wuh yuan,гун у юань
功夫,gong fu,kung¹ fu,gong fu,гун фу
功课,gong ke,kung¹ k'o⁴,gong keh,гун кэ
功能,gong neng,kung¹ neng²,gong neng,гун нэн
共同,gong tong,kung⁴ t'ung²,gonq torng,гун тун
共有,gong you,kung⁴ yu³,gonq yeou,гун ю
姑娘,gu niang,ku¹ niang,gu niang,гу нян
古,gu,ku³,guu,гу
古代,gu dai,ku³ tai⁴,guu day,гу дай
故乡,gu xiang,ku⁴ hsiang¹,guh shiang,гу сян
挂,gua,kua⁴,guah,гуа
关注,guan zhu,kuan¹ chu⁴,guan juh,гуань чжу
观察,guan cha,kuan¹ ch'a²,guan char,гуань ча
观看,guan kan,kuan¹ k'an⁴,guan kann,гуань кань
观念,guan nian,kuan¹ nien⁴,guan niann,гуань нянь
观众,guan zhong,kuan¹ chung⁴,guan jonq,гуань чжун
管,guan,kuan³,goan,гуань
管理,guan li,kuan³ li³,goan lii,гуань ли
光,guang,kuang¹,guang,гуан
光明,guang ming,kuang¹ ming²,guang ming,гуан мин
广播,guang bo,kuang³ po¹,goang bo,гуан бо
广大,guang da,kuang³ ta⁴,goang dah,гуан да
规定,gui ding,kuei¹ ting⁴,guei dinq,гуй дин
规范,gui fan,kuei¹ fan⁴,guei fann,гуй фань
国内,guo nei,kuo² nei⁴,gwo ney,го нэй
国庆,guo qing,kuo² ch'ing⁴,gwo chinq,го цин
果然,guo ran,kuo³ jan²,guoo ran,го жань
果汁,guo zhi,kuo³ chih¹,guoo jy,го чжи
过程,guo cheng,kuo⁴ ch'eng²,guoh cherng,го чэн
过去,guo qu,kuo⁴ ch'ü⁴,guoh chiuh,го цюй
哈哈,ha ha,ha¹ ha¹,ha ha,ха ха
海关,hai guan,hai³ kuan¹,hae guan,хай гуань
害怕,hai pa,hai⁴ p'a⁴,hay pah,хай па
行,xing,hang²,harng,син
好好,hao hao,hao³ hao³,hao hao,хао хао
好奇,hao qi,hao⁴ ch'i²,haw chyi,хао ци
合,he,ho²,her,хэ
合法,he fa,ho² fa³,her faa,хэ фа
合格,he ge,ho² ko²,her ger,хэ гэ
合理,he li,ho² li³,her lii,хэ ли
合作,he zuo,ho² tso⁴,her tzuoh,хэ цзо
和平,he ping,ho² p'ing²,her pyng,хэ пин
红茶,hong cha,hung² ch'a²,horng char,хун ча
红酒,hong jiu,hung² chiu³,horng jeou,хун цзю
后果,hou guo,hou⁴ kuo³,how guoo,хоу го
后年,hou nian,hou⁴ nien²,how nian,хоу нянь
互联网,hu lian wang,hu⁴ lien² wang³,huh lian woang,ху лянь ван
互相,hu xiang,hu⁴ hsiang¹,huh shiang,ху сян
划船,hua chuan,hua² ch'uan²,hwa chwan,хуа чуань
华人,hua ren,hua² jen²,hwa ren,хуа жэнь
化,hua,hua⁴,huah,хуа
话剧,hua ju,hua⁴ chü⁴,huah jiuh,хуа цзюй
话题,hua ti,hua⁴ t'i²,huah tyi,хуа ти
欢乐,huan le,huan¹ le⁴,huan leh,хуань лэ
环,huan,huan²,hwan,хуань
环保,huan bao,huan² pao³,hwan bao,хуань бао
环境,huan jing,huan² ching⁴,hwan jinq,хуань цзин
会议,hui yi,hui⁴ i⁴,huey yih,хуэй и
会员,hui yuan,hui⁴ yüan²,huey yuan,хуэй юань
活,huo,huo²,hwo,хо
火,huo,huo³,huoo,хо
机器,ji qi,chi¹ ch'i⁴,ji chih,цзи ци
积极,ji ji,chi¹ chi²,ji jyi,цзи цзи
基本,ji ben,chi¹ pen³,ji been,цзи бэнь
基础,ji chu,chi¹ ch'u³,ji chuu,цзи чу
及时,ji shi,chi² shih²,jyi shyr,цзи ши
…极了,… ji le,…jíle,…jíle,цзи лэ
集体,ji ti,chi² t'i³,jyi tii,цзи ти
集中,ji zhong,chi² chung¹,jyi jong,цзи чжун
计算,ji suan,chi⁴ suan⁴,jih suann,цзи суань
记录,ji lu,chi⁴ lu⁴,jih luh,цзи лу
记者,ji zhe,chi⁴ che³,jih jee,цзи чжэ
纪录,ji lu,chi⁴ lu⁴,jih luh,цзи лу
纪念,ji nian,chi⁴ nien⁴,jih niann,цзи нянь
技术,ji zhu,chi⁴ shu⁴,jih shuh,цзи чжу
继续,ji xu,chi⁴ hsü⁴,jih shiuh,цзи сюй
加工,jia gong,chia¹ kung¹,jia gong,цзя гун
加快,jia kuai,chia¹ k'uai⁴,jia kuay,цзя куай
加强,jia qiang,chia¹ ch'iang²,jia chyang,цзя цян
家具,jia ju,chia¹ chü⁴,jia jiuh,цзя цзюй
家属,jia shu,chia¹ shu³,jia shuu,цзя шу
家乡,jia xiang,chia¹ hsiang¹,jia shiang,цзя сян
价格,jia ge,chia⁴ ko²,jiah ger,цзя гэ
价值,jia zhi,chia⁴ chih²,jiah jyr,цзя чжи
架,jia,chia⁴,jiah,цзя
坚持,jian chi,chien¹ ch'ih²,jian chyr,цзянь чи
坚决,jian jue,chien¹ chüeh²,jian jyue,цзянь цзюэ
坚强,jian qiang,chien¹ ch'iang²,jian chyang,цзянь цян
简单,jian dan,chien³ tan¹,jean dan,цзянь дань
简直,jian zhi,chien³ chih²,jean jyr,цзянь чжи
建,jian,chien⁴,jiann,цзянь
建成,jian cheng,chien⁴ ch'eng²,jiann cherng,цзянь чэн
建立,jian li,chien⁴ li⁴,jiann lih,цзянь ли
建设,jian she,chien⁴ she⁴,jiann sheh,цзянь шэ
建议,jian yi,chien⁴ i⁴,jiann yih,цзянь и
将近,jiang jin,chiang¹ chin⁴,jiang jinn,цзян цзинь
将来,jiang lai,chiang¹ lai²,jiang lai,цзян лай
交费,jiao fei,chiao¹ fei⁴,jiau fey,цзяо фэй
交警,jiao jing,chiao¹ ching³,jiau jiing,цзяо цзин
交流,jiao liu,chiao¹ liu²,jiau liou,цзяо лю
交往,jiao wang,chiao¹ wang³,jiau woang,цзяо ван
交易,jiao yi,chiao¹ i⁴,jiau yih,цзяо и
叫,jiao,chiao⁴,jiaw,цзяо
较,jiao,chiao⁴,jiaw,цзяо
教材,jiao cai,chiao⁴ ts'ai²,jiaw tsair,цзяо цай
教练,jiao lian,chiao⁴ lien⁴,jiaw liann,цзяо лянь
接待,jie dai,chieh¹ tai⁴,jie day,цзе дай
接近,jie jin,chieh¹ chin⁴,jie jinn,цзе цзинь
节约,jie yue,chieh² yüeh¹,jye iue,цзе юэ
结合,jie he,chieh² ho²,jye her,цзе хэ
结婚,jie hun,chieh² hun¹,jye huen,цзе хунь
结束,jie shu,chieh² shu⁴,jye shuh,цзе шу
解决,jie jue,chieh³ chüeh²,jiee jyue,цзе цзюэ
解开,jie kai,chieh³ k'ai¹,jiee kai,цзе кай
金,jin,chin¹,jin,цзинь
金牌,jin pai,chin¹ p'ai²,jin pair,цзинь пай
仅,jin,chin³,jiin,цзинь
仅仅,jin jin,chin³ chin³,jiin jiin,цзинь цзинь
尽量,jin liang,chin³ liang⁴,jiin lianq,цзинь лян
紧,jin,chin³,jiin,цзинь
紧急,jin ji,chin³ chi²,jiin jyi,цзинь цзи
紧张,jin zhang,chin³ chang¹,jiin jang,цзинь чжан
进步,jin bu,chin⁴ pu⁴,jinn buh,цзинь бу
进展,jin zhan,chin⁴ chan³,jinn jaan,цзинь чжань
近期,jin qi,chin⁴ ch'i¹,jinn chi,цзинь ци
京剧,jing ju,ching¹ chü⁴,jing jiuh,цзин цзюй
经济,jing ji,ching¹ chi⁴,jing jih,цзин цзи
经历,jing li,ching¹ li⁴,jing lih,цзин ли
经验,jing yan,ching¹ yan⁴,jing yann,цзин янь
经营,jing ying,ching¹ ying²,jing yng,цзин ин
精彩,jing cai,ching¹ ts'ai³,jing tsae,цзин цай
精神,jing shen,ching¹ shen²,jing shern,цзин шэнь
景色,jing se,ching³ se⁴,jiing seh,цзин сэ
警察,jing cha,ching³ ch'a²,jiing char,цзин ча
静,jing,ching⁴,jinq,цзин
久,jiu,chiu³,jeou,цзю
旧,jiu,chiu⁴,jiow,цзю
救,jiu,chiu⁴,jiow,цзю
就是,jiu shi,chiu⁴ shih⁴,jiow shyh,цзю ши
就业,jiu ye,chiu⁴ yeh⁴,jiow yeh,цзю е
举办,ju ban,chü³ pan⁴,jeu bann,цзюй бань
具体,ju ti,chü⁴ t'i³,jiuh tii,цзюй ти
具有,ju you,chü⁴ yu³,jiuh yeou,цзюй ю
剧场,ju chang,chü⁴ ch'ang³,jiuh chaang,цзюй чан
据说,ju shuo,chü⁴ shuo¹,jiuh shuo,цзюй шо
决定,jue ding,chüeh² ting⁴,jyue dinq,цзюэ дин
决赛,jue sai,chüeh² sai⁴,jyue say,цзюэ сай
决心,jue xin,chüeh² hsin¹,jyue shin,цзюэ синь
绝对,jue dui,chüeh² tui⁴,jyue duey,цзюэ дуй
咖啡,ka fei,k'a¹ fei¹,ka fei,ка фэй
开发,kai fa,k'ai¹ fa¹,kai fa,кай фа
开放,kai fang,k'ai¹ fang⁴,kai fanq,кай фан
开始,kai shi,k'ai¹ shih³,kai shyy,кай ши
开业,kai ye,k'ai¹ yeh⁴,kai yeh,кай е
开展,kai zhan,k'ai¹ chan³,kai jaan,кай чжань
考验,kao yan,k'ao³ yan⁴,kao yann,као янь
科技,ke ji,k'o¹ chi⁴,ke jih,кэ цзи
可靠,ke kao,k'o³ k'ao⁴,kee kaw,кэ као
可乐,ke le,k'o³ le⁴,kee leh,кэ лэ
克服,ke fu,k'o⁴ fu²,keh fwu,кэ фу
客观,ke guan,k'o⁴ kuan¹,keh guan,кэ гуань
课程,ke cheng,k'o⁴ ch'eng²,keh cherng,кэ чэн
空,kong,k'ung¹,kong,кун
空调,kong diao,k'ung¹ t'iao²,kong tyau,кун дяо
恐怕,kong pa,k'ung³ p'a⁴,koong pah,кун па
空儿,kong er,k'ung⁴ r,konq r,кун эр
裤子,ku zi,k'u⁴ zi,kuh zi,ку цзы
快速,kuai su,k'uai⁴ su⁴,kuay suh,куай су
困,kun,k'un⁴,kuenn,кунь
浪费,lang fei,lang⁴ fei⁴,lanq fey,лан фэй
老百姓,lao bai xing,lao³ pai³ hsing⁴,lao bae shinq,лао бай син
老板,lao ban,lao³ pan³,lao baan,лао бань
老太太,lao tai tai,lao³ t'ai⁴ tai,lao tay tai,лао тай тай
老头儿,lao tou er,lao³ t'ou² r,lao tour r,лао тоу эр
乐,le,le⁴,leh,лэ
乐观,le guan,le⁴ kuan¹,leh guan,лэ гуань
类,lei,lei⁴,ley,лэй
类似,lei si,lei⁴ ssu⁴,ley syh,лэй сы
离婚,li hun,li² hun¹,li huen,ли хунь
里面,li mian,li³ mien⁴,lii miann,ли мянь
理发,li fa,li³ fa⁴,lii fah,ли фа
理解,li jie,li³ chieh³,lii jiee,ли цзе
理论,li lun,li³ lun⁴,lii luenn,ли лунь
理由,li you,li³ yu²,lii you,ли ю
力,li,li⁴,lih,ли
立刻,li ke,li⁴ k'o⁴,lih keh,ли кэ
利用,li yong,li⁴ yung⁴,lih yonq,ли юн
连,lian,lien²,lian,лянь
连忙,lian mang,lien² mang²,lian mang,лянь ман
连续,lian xu,lien² hsü⁴,lian shiuh,лянь сюй
连续剧,lian xu ju,lien² hsü⁴ chü⁴,lian shiuh jiuh,лянь сюй цзюй
联合,lian he,lien² ho²,lian her,лянь хэ
联合国,lian he guo,lien² ho² kuo²,lian her gwo,лянь хэ го
联系,lian xi,lien² hsi⁴,lian shih,лянь си
凉水,liang shui,liang² shui³,liang shoei,лян шуй
了,le,le,le,лэ
领,ling,ling³,liing,лин
领导,ling dao,ling³ tao³,liing dao,лин дао
领先,ling xian,ling³ hsien¹,liing shian,лин сянь
另外,ling wai,ling⁴ wai⁴,linq way,лин вай
留学,liu xue,liu² hsüeh²,liou shyue,лю сюэ
龙,long,lung²,long,лун
录,lu,lu⁴,luh,лу
录音,lu yin,lu⁴ yin¹,luh in,лу инь
路线,lu xian,lu⁴ hsien⁴,luh shiann,лу сянь
乱,luan,luan⁴,luann,луань
落后,luo hou,lo⁴ hou⁴,luoh how,ло хоу
麻烦,ma fan,ma² fan,ma fan,ма фань
马,ma,ma³,maa,ма
满足,man zu,man³ tsu²,maan tzwu,мань цзу
慢慢,man man,man⁴ man⁴,mann mann,мань мань
毛,mao,mao²,mau,мао
毛病,mao bing,mao² ping⁴,mau binq,мао бин
没用,mei yong,mei² yung⁴,mei yonq,мэй юн
媒体,mei ti,mei² t'i³,mei tii,мэй ти
每,mei,mei³,meei,мэй
美,mei,mei³,meei,мэй
美好,mei hao,mei³ hao³,meei hao,мэй хао
美丽,mei li,mei³ li⁴,meei lih,мэй ли
美食,mei shi,mei³ shih²,meei shyr,мэй ши
美术,mei zhu,mei³ shu⁴,meei shuh,мэй чжу
美元,mei yuan,mei³ yüan²,meei yuan,мэй юань
迷,mi,mi²,mi,ми
米,mi,mi³,mii,ми
面对,mian dui,mien⁴ tui⁴,miann duey,мянь дуй
面积,mian ji,mien⁴ chi¹,miann ji,мянь цзи
民间,min jian,min² chien¹,min jian,минь цзянь
民族,min zu,min² tsu²,min tzwu,минь цзу
明确,ming que,ming² ch'üeh⁴,ming chiueh,мин цюэ
明显,ming xian,ming² hsien³,ming shean,мин сянь
命运,ming yun,ming⁴ yün⁴,minq yunn,мин юнь
某,mou,mou³,moou,моу
母亲,mu qin,mu³ ch'in¹,muu chin,му цинь
木头,mu tou,mu⁴ tou,muh tou,му тоу
目标,mu biao,mu⁴ piao¹,muh biau,му бяо
目前,mu qian,mu⁴ ch'ien²,muh chyan,му цянь
奶茶,nai cha,nai³ ch'a²,nae char,най ча
男子,nan zi,nan² tzu³,nan tzyy,цзы
南部,nan bu,nan² pu⁴,nan buh,бу
难道,nan dao,nan² tao⁴,nan daw,дао
