Pinyin,Wade-Giles,Romatzyh
диантаи,тиентаи,дианнтаир
дианзиыоуйиан,тиентзуыучиен,дианнтзыыыоуйианн
диао,тиао,диауо
диаоча,тиаоча,диауочар
динг,тинг,динк
дингки,тингчи,динкчи
донгбу,тунгпу,донгбух
донгли,тунгли,донклих
донгрен,тунгйен,донкрен
дуже,туче,дуоуйее
дуанчу,туанчу,доанчух
дуанку,туанку,доанкух
дуанки,туанчи,доанчи
дуан,туан,дуанн
дуиыуан,туиыуан,дуеыыуан
дуидаи,туитаи,дуеыдаы
дуифанг,туифанг,дуеыфанг
дуишоу,туишоу,дуеышооу
дуиxианг,туихсианг,дуеышианк
дун,тун,дуенн
фабиао,фапиао,фабеау
фачу,фачу,фачу
фада,фата,фадар
фадонг,фатунг,фадонк
фаминг,фаминг,фаминг
фашенг,фашенг,фашенг
фасонг,фасунг,фасонк
фаыан,фаыан,фаыан
фажан,фачан,фаяан
фандуи,фантуи,фаандуеы
фанфу,фанфу,фаанфух
фаныинг,фаныинг,фааныинк
фанженг,фанченг,фаанйенк
фануоеи,фануоеи,фаннуоеи
фангши,фангших,фангшых
фанг,фанг,фарнг
фангжи,фангчих,фарнгйыы
фангдонг,фангтунг,фарнгдонг
фангуоу,фангуоу,фарнгу
фангзу,фангцу,фарнгтзу
фангуоен,фангуоен,фаангуоенн
фангдао,фангтао,фанкдауо
феиxинг,феихсинг,феишынг
феи,феи,феы
феиыонг,феиыунг,феыыонк
фенбие,фенпиех,фенбые
фенпеи,фенпеи,фенпеы
фензу,фенцу,фентзуу
фенгфу,фенгфу,фенгфух
фенгxиан,фенгхсиен,фенгшеан
фоудинг,фоутинг,фооудинк
фоурен,фоуйен,фооуренн
фужуанг,фучуанг,фуоуюанг
фу,фу,фуоу
фуму,фуму,фухмуу
фукин,фучин,фухчин
фу,фу,фух
фузе,фуце,фухтзер
фуыин,фуыин,фухыинн
фуза,фуца,фухтзар
фу,фу,фух
гаийин,каичин,гаейинн
гаизао,каицао,гаетзауо
гаиниан,каиниен,гаынианн
ган,кан,гаан
гандао,кантао,гаандауо
ганйин,канчин,гаанйиин
ганкуаи,канкуаи,гаанкуаы
ган,кан,гаан
ганмао,канмао,гаанмауо
ганкинг,канчинг,гаанчынг
ганшоу,каншоу,гааншоуо
ганма,канма,ганнма
гаосу,каосу,гаусух
гаосугонглу,каосукунглу,гаусухгонглух
гаобие,каопиех,гауобые
геми,коми,геми
гешенг,кошенг,гешенг
гешоу,кошоу,гешооу
герен,койен,гехрен
геxинг,кохсинг,гехшинк
ге,ко,гех
геди,коти,гехдих
геуоеи,коуоеи,гехуоеы
гежонг,кочунг,гехйоонг
гези,котзу,гехтзых
генбен,кенпен,генбеен
генгйиа,кенгчиа,генкйиа
гонгчанг,кунгчанг,гонгчаанг
гонгченгши,кунгченгших,гонгчернгшы
гонгфу,кунгфу,гонгфу
гонгю,кунгчу,гонгйиух
гонгые,кунгыех,гонгыех
гонгзи,кунгтзу,гонгтзы
гонгбу,кунгпу,гонгбух
гонггонг,кунгкунг,гонггонк
гонгкаи,кунгкаи,гонгкаи
гонгмин,кунгмин,гонгмин
гонгуоуыуан,кунгуоуыуан,гонгуоухыуан
гонгфу,кунгфу,гонгфу
гонгке,кунгко,гонгкех
гонгненг,кунгненг,гонгненг
гонгтонг,кунгтунг,гонкторнг
гонгыоу,кунгыу,гонкыеоу
гунианг,кунианг,гунианг
гу,ку,гуу
гудаи,кутаи,гуудаы
гуxианг,кухсианг,гухшианг
гуа,куа,гуах
гуанжу,куанчу,гуанюх
гуанча,куанча,гуанчар
гуанкан,куанкан,гуанканн
гуанниан,куанниен,гуаннианн
гуанжонг,куанчунг,гуанйонк
гуан,куан,гоан
гуанли,куанли,гоанлии
гуанг,куанг,гуанг
гуангминг,куангминг,гуангминг
гуангбо,куангпо,гоангбо
гуангда,куангта,гоангдах
гуидинг,куеитинг,гуеидинк
гуифан,куеифан,гуеифанн
гуонеи,куонеи,гуоонеы
гуокинг,куочинг,гуоочинк
гуоран,куоян,гуооран
гуожи,куочих,гуоойы
гуоченг,куоченг,гуохчернг
гуоку,куочу,гуохчиух
хаха,хаха,хаха
хаигуан,хаикуан,хаегуан
хаипа,хаипа,хаыпах
ханг,ханг,харнг
хаохао,хаохао,хаохао
хаоки,хаочи,хауочыи
хе,хо,хер
хефа,хофа,херфаа
хеге,хоко,хергер
хели,холи,херлии
хезуо,хоцо,хертзуох
хепинг,хопинг,херпынг
хонгча,хунгча,хорнгчар
хонгйиу,хунгчиу,хорнгйеоу
хоугуо,хоукуо,хоуогуоо
хоуниан,хоуниен,хоуониан
хулиануоанг,хулиенуоанг,хухлиануооанг
хуxианг,хухсианг,хухшианг
хуачуан,хуачуан,хуоачуоан
хуарен,хуайен,хуоарен
хуа,хуа,хуах
хуаю,хуачу,хуахйиух
хуати,хуати,хуахтыи
хуанле,хуанле,хуанлех
хуан,хуан,хуоан
хуанбао,хуанпао,хуоанбао
хуанйинг,хуанчинг,хуоанйинк
хуиыи,хуии,хуеыыих
хуиыуан,хуиыуан,хуеыыуан
хуо,хуо,хуоо
хуо,хуо,хуоо
йики,чичи,йичих
йийи,чичи,йийыи
йибен,чипен,йибеен
йичу,чичу,йичуу
йиши,чиших,йыишыр
…йиле,…йиле,…йиле
йити,чити,йыитии
йижонг,чичунг,йыийонг
йисуан,чисуан,йихсуанн
йилу,чилу,йихлух
йиже,чиче,йихйее
йилу,чилу,йихлух
йиниан,чиниен,йихнианн
йишу,чишу,йихшух
йиxу,чихсу,йихшиух
йиагонг,чиакунг,йиагонг
йиакуаи,чиакуаи,йиакуаы
йиакианг,чиачианг,йиачыанг
йиаю,чиачу,йиайиух
йиашу,чиашу,йиашуу
йиаxианг,чиахсианг,йиашианг
йиаге,чиако,йиахгер
йиажи,чиачих,йиахйыр
йиа,чиа,йиах
йианчи,чиенчих,йианчыр
йианюе,чиенчуех,йианйыуе
йианкианг,чиенчианг,йианчыанг
йиандан,чиентан,йеандан
йианжи,чиенчих,йеанйыр
йиан,чиен,йианн
йианченг,чиенченг,йианнчернг
йианли,чиенли,йианнлих
йианше,чиенше,йианншех
йианыи,чиени,йианныих
йиангйин,чиангчин,йиангйинн
йианглаи,чианглаи,йианглаи
йиаофеи,чиаофеи,йиауфеы
йиаойинг,чиаочинг,йиауйиинг
йиаолиу,чиаолиу,йиаулиоу
йиаоуоанг,чиаоуоанг,йиаууооанг
йиаоыи,чиаои,йиауыих
йиао,чиао,йиауо
йиао,чиао,йиауо
йиаоцаи,чиаоцаи,йиауоцаир
йиаолиан,чиаолиен,йиауолианн
йиедаи,чиехтаи,йиедаы
йиейин,чиехчин,йиейинн
йиеыуе,чиехыуех,йыеиуе
йиехе,чиеххо,йыехер
йиехун,чиеххун,йыехуен
йиешу,чиехшу,йыешух
йиеюе,чиехчуех,йиеейыуе
йиекаи,чиехкаи,йиеекаи
йин,чин,йин
йинпаи,чинпаи,йинпаир
йин,чин,йиин
йинйин,чинчин,йиинйиин
йинлианг,чинлианг,йиинлианк
йин,чин,йиин
йинйи,чинчи,йиинйыи
йинжанг,чинчанг,йиинянг
йинбу,чинпу,йиннбух
йинжан,чинчан,йинняан
йинки,чинчи,йиннчи
йингю,чингчу,йингйиух
йингйи,чингчи,йингйих
йингли,чингли,йинглих
йингыан,чингыан,йингыанн
йингыинг,чингыинг,йингынг
йингцаи,чингцаи,йингцае
йингшен,чингшен,йингшерн
йингсе,чингсе,йиингсех
йингча,чингча,йиингчар
йинг,чинг,йинк
йиу,чиу,йеоу
йиу,чиу,йиоуо
йиу,чиу,йиоуо
йиуши,чиуших,йиоуошых
йиуые,чиуыех,йиоуоыех
юбан,чупан,йеубанн
юти,чути,йиухтии
юыоу,чуыу,йиухыеоу
ючанг,чучанг,йиухчаанг
юшуо,чушуо,йиухшуо
юединг,чуехтинг,йыуединк
юесаи,чуехсаи,йыуесаы
юеxин,чуеххсин,йыуешин
юедуи,чуехтуи,йыуедуеы
кафеи,кафеи,кафеи
каифа,каифа,каифа
каифанг,каифанг,каифанк
каиши,каиших,каишыы
каиые,каиыех,каиыех
каижан,каичан,каияан
каоыан,каоыан,каоыанн
кейи,кочи,кейих
кекао,кокао,кеекауо
келе,коле,кеелех
кефу,кофу,кехфуоу
кегуан,кокуан,кехгуан
кеченг,коченг,кехчернг
конг,кунг,конг
конгтиао,кунгтиао,конгтыау
конгпа,кунгпа,коонгпах
конгр,кунгр,конкр
кузи,кузи,кухзи
куаису,куаису,куаысух
кун,кун,куенн
лангфеи,лангфеи,ланкфеы
лаобаиxинг,лаопаихсинг,лаобаешинк
лаобан,лаопан,лаобаан
лаотаитаи,лаотаитаи,лаотаытаи
лаотоур,лаотоур,лаотоурр
ле,ле,лех
легуан,лекуан,лехгуан
леи,леи,леы
леиси,леиссу,леысых
лихун,лихун,лихуен
лимиан,лимиен,лиимианн
лифа,лифа,лиифах
лийие,личиех,лиийиее
лилун,лилун,лиилуенн
лиыоу,лиыу,лииыоу
ли,ли,лих
лике,лико,лихкех
лиыонг,лиыунг,лихыонк
лиан,лиен,лиан
лианманг,лиенманг,лианманг
лианxу,лиенхсу,лианшиух
лианxую,лиенхсучу,лианшиухйиух
лианхе,лиенхо,лианхер
лианхегуо,лиенхокуо,лианхергуоо
лианxи,лиенхси,лианших
лиангшуи,лиангшуи,лиангшоеи
ле,ле,ле
линг,линг,лиинг
лингдао,лингтао,лиингдао
лингxиан,лингхсиен,лиингшиан
лингуоаи,лингуоаи,линкуоаы
лиуxуе,лиухсуех,лиоушыуе
лонг,лунг,лонг
лу,лу,лух
луыин,луыин,лухин
луxиан,лухсиен,лухшианн
луан,луан,луанн
луохоу,лохоу,луоххоуо
мафан,мафан,мафан
ма,ма,маа
манзу,манцу,маантзуоу
манман,манман,маннманн
мао,мао,мау
маобинг,маопинг,маубинк
меиыонг,меиыунг,меиыонк
меити,меити,меитии
меи,меи,мееи
меи,меи,мееи
меихао,меихао,мееихао
меили,меили,мееилих
меиши,меиших,мееишыр
меишу,меишу,мееишух
меиыуан,меиыуан,мееиыуан
ми,ми,ми
ми,ми,мии
миандуи,миентуи,мианндуеы
мианйи,миенчи,мианнйи
минйиан,минчиен,минйиан
минзу,минцу,минтзуоу
мингкуе,мингчуех,мингчиуех
мингxиан,мингхсиен,мингшеан
мингыун,мингыун,минкыунн
моу,моу,мооу
мукин,мучин,муучин
мутоу,мутоу,мухтоу
мубиао,мупиао,мухбиау
мукиан,мучиен,мухчыан
наича,наича,наечар
нанзи,нантзу,нантзыы
нанбу,нанпу,нанбух
нандао,нантао,нандауо
нанду,нанту,нандух
неи,неи,неы
неиронг,неиюнг,неыронг
неиxин,неихсин,неышин
ненгбуненг,ненгбуненг,ненгбуненг
ненгли,ненгли,ненглих
нианчу,ниенчу,нианчу
ниандаи,ниентаи,ниандаы
нианди,ниенти,ниандии
нианйи,ниенчи,нианйих
ниан,ниен,нианн
ниу,ниу,ниоу
нонгцун,нунгцун,нонгцуен
нонгмин,нунгмин,нонгмин
нонгые,нунгыех,нонгыех
нуанхуо,нуанхуо,ноанхуо
па,па,пах
паи,паи,паи
паи,паи,паир
паиминг,паиминг,паирминг
паизи,паизи,паирзи
паи,паи,паы
пандуан,пантуан,панндуанн
паобу,паопу,паобух
пеи,пеи,пеы
пеихе,пеихо,пеыхер
пипинг,пипинг,пипынг
пижун,пичун,пийоен
пи,пи,пыи
пибао,пипао,пыибау
пийиу,пичиу,пыийеоу
пиаойиа,пиаочиа,пиауойиах
пингйиа,пингчиа,пынгйиах
пинггуо,пингкуо,пынггуоо
по,по,пох
похуаи,похуаи,поххуаы
пубиан,пупиен,пуубианн
пуйи,пучи,пууйыи
ки,чи,чи
ки,чи,чыи
кици,читзу,чыицых
киши,чиших,чыишыр
кигуаи,чикуаи,чыигуаы
кихоу,чихоу,чиххоуо
киануоан,чиенуоан,чиануоанн
кианхоу,чиенхоу,чыанхоуо
кианйин,чиенчин,чыанйинн
кианмиан,чиенмиен,чыанмианн
киануоанг,чиенуоанг,чыануооанг
кианг,чианг,чыанг
киангда,чиангта,чыангдах
киангдиао,чиангтиао,чыангдиауо
кианглие,чианглиех,чыанглиех
киао,чиао,чыау
киао,чиао,чеау
кин,чин,чин
кинкие,чинчиех,чинчиех
кинрен,чинйен,чинрен
кинзи,чинтзу,чинтзых
кингган,чингкан,чынггаан
кингкуанг,чингкуанг,чынгкуанк
кингйиао,чингчиао,чиингйиауо
кингжу,чингчу,чинкюх
киуми,чиуми,чыоуми
ку,чу,чиу
кубие,чупиех,чиубые
куxиао,чухсиао,чеушиау
куши,чуших,чиухшых
куанчанг,чуанчанг,чыуанчаанг
куанмиан,чуанмиен,чыуанмианн
куанкиу,чуанчиу,чыуанчыоу
куе,чуех,чиуе
куедиан,чуехтиен,чиуедеан
куешао,чуехшао,чиуешао
куебао,чуехпао,чиуехбао
куединг,чуехтинг,чиуехдинк
куеши,чуехших,чиуехшыр
кунзи,чунзи,чыунзи
кун,чун,чыун
ре’аи,йеаи,рехаы
релие,йелиех,рехлиех
ренцаи,йенцаи,ренцаир
ренгонг,йенкунг,ренгонг
ренлеи,йенлеи,ренлеы
ренмин,йенмин,ренмин
ренминби,йенминпи,ренминбих
ренкун,йенчун,ренчыун
реншенг,йеншенг,реншенг
реныуан,йеныуан,реныуан
ренчу,йенчу,реннчу
ренке,йенко,реннкее
рен,йен,ренн
рен,йен,ренн
ренхе,йенхо,реннхер
ренуоу,йенуоу,реннуоу
ренг,йенг,ренг
ренгран,йенгян,ренгран
ричанг,йихчанг,рыхчарнг
ронгыи,юнги,ронгыих
рухе,юхо,рухер
санбу,санпу,саннбух
шафа,шафа,шафа
шази,шази,шази
шанг,шанг,шанг
шангxин,шангхсин,шангшин
шангпин,шангпин,шангпиин
шангые,шангыех,шангыех
шанглаи,шанглаи,шанклаи
шангмиан,шангмиен,шанкмианн
шангку,шангчу,шанкчиух
шангшенг,шангшенг,шанкшенг
шангыи,шанги,шанки
шебеи,шепеи,шехбеы
шейи,шечи,шехйих
шели,шели,шехлих
шехуи,шехуи,шеххуеы
шенфенженг,шенфенченг,шенфеннйенк
шен,шен,шен
шенке,шенко,шенкех
шенру,шеню,шенрух
шенг,шенг,шенг
шенг,шенг,шенг
шенгчан,шенгчан,шенгчаан
шенгцун,шенгцун,шенгцуоен
шенгдонг,шенгтунг,шенгдонк
шенгминг,шенгминг,шенгминк
шенгжанг,шенгчанг,шенгяанг
шенгминг,шенгминг,шенгминг
шенг,шенг,шенк
шенгли,шенгли,шенклих
шику,шихчу,шычиух
шитоу,шихтоу,шыртоу
шиыоу,шихыу,шырыоу
ши,ших,шыр
шидаи,шихтаи,шырдаы
шике,шихко,шыркех
шийишанг,шихчишанг,шырйихшанк
шили,шихли,шырлих
шиxинг,шиххсинг,шыршынг
шиыан,шихыан,шырыанн
шиыанши,шихыанших,шырыанншых
шипин,шихпин,шырпиин
ши,ших,шыы
шижонг,шихчунг,шыыйонг
шийи,шихчи,шыхйих
шийие,шихчиех,шыхйиех
шийиебеи,шихчиехпеи,шыхйиехбеи
шичанг,шихчанг,шыхчаанг
шигу,шихку,шыхгух
шийиан,шихчиен,шыхйианн
шиши,шихших,шыхшыр
шишишанг,шихшихшанг,шыхшыршанк
шиые,шихыех,шыхыех
шити,шихти,шыхтыи
шиыан,шихыан,шыхыанн
шихе,шиххо,шыххер
шиыинг,шихыинг,шыхыинк
шиыонг,шихыунг,шыхыонк
ши,ших,шых
шоуфеи,шоуфеи,шоуфеы
шоукан,шоукан,шоуканн
шоутинг,шоутинг,шоутинг
шоуыинйи,шоуыинчи,шоуинйи
шоуxу,шоухсу,шооушиух
шоужи,шоучих,шооуйыы
шоуду,шоуту,шооуду
шоуxиан,шоухсиен,шооушиан
шоу,шоу,шоуо
шоушанг,шоушанг,шоуошанг
шуйиа,шучиа,шуйиах
шу,шу,шу
шуру,шую,шурух
шурен,шуйен,шуоурен
шу,шу,шуу
шуыу,шуыу,шууыу
шу,шу,шух
шулианг,шулианг,шухлианк
шуанг,шуанг,шуанг
шуангфанг,шуангфанг,шуангфанг
сиxианг,ссухсианг,сышеанг
си,ссу,сыы
суду,суту,сухдух
суи,суи,суоеи
суо,со,суоо
таи,таи,таир
тан,тан,тарн
танхуа,танхуа,тарнхуах
танпан,танпан,тарнпанн
танг,танг,танг
танг,танг,тарнг
тесе,тесе,техсех
тикиан,тичиен,тыичыан
тиуоен,тиуоен,тыиуоенн
тиму,тиму,тыимух
тихуи,тихуи,тиихуеы
тиxиан,тихсиен,тиишианн
тиыан,тиыан,тииыанн
тианконг,тиенкунг,тианконг
тиан,тиен,тыан
тиао,тиао,тыау
тиаоженг,тиаоченг,тыауйеенг
тиао,тиао,тиауо
тиаогао,тиаокао,тиауогау
тиаоуоу,тиаоуоу,тиауоуоуу
тиаоыуан,тиаоыуан,тиауоыеуан
тие,тиех,тиее
тиелу,тиехлу,тиеелух
тингли,тингли,тинглих
тингжонг,тингчунг,тингйонк
тингжи,тингчих,тынгйыы
тонгчанг,тунгчанг,тонгчарнг
тонгxин,тунгхсин,тонгшинн
тонгыи,тунги,торнгыих
тонг,тунг,тонк
тонгку,тунгку,тонккуу
тоу,тоу,тоур
тоунао,тоунао,тоурнао
тучу,тучу,тучу
туран,туян,туран
ту,ту,туоу
тухуа,тухуа,туоухуах
ту,ту,туу
туан,туан,туоан
туанйие,туанчиех,туоанйые
туанти,туанти,туоантии
туидонг,туитунг,туеидонк
туигуанг,туикуанг,туеигоанг
туийин,туичин,туеийинн
туикаи,туикаи,туеикаи
туи,туи,туеы
туичу,туичу,туеычу
туиxиу,туихсиу,туеышиоу
уоаийиао,уоаичиао,уоаыйиау
уоаимиан,уоаимиен,уоаымианн
уоаиуоен,уоаиуоен,уоаыуоен
уоанмеи,уоанмеи,уоанмееи
уоаншан,уоаншан,уоаншанн
уоанженг,уоанченг,уоанйеенг
уоаню,уоанчу,уоанйиух
уоангуоанг,уоангуоанг,уооангуооанг
уоеихаи,уоеихаи,уеихаы
уоеиxиан,уоеихсиен,уеишеан
уоеи,уоеи,уоеи
уоеи,уоеи,уоеы
уоеи,уоеи,уоеи
уоеида,уоеита,уооеидах
уоеишенг,уоеишенг,уоеышенг
уоеишенгйиан,уоеишенгчиен,уоеышенгйиан
уоеиле,уоеиле,уоеыле
уоеннуан,уоеннуан,уенноан
уоенхуа,уоенхуа,уоенхуах
уоенйиан,уоенчиен,уоенйианн
уоенминг,уоенминг,уоенминг
уоенxуе,уоенхсуех,уоеншыуе
уоенжанг,уоенчанг,уоенянг
уоензи,уоентзу,уоентзых
уоошоу,уоошоу,уоохшооу
уоузи,уоузи,узи
уоуки,уоучи,уоуучих
уоушу,уоушу,уоуушух
уоутаи,уоутаи,уоуутаир
xибу,хсипу,шибух
xиуоанг,хсиуоанг,шиуоанк
xи,хси,ших
xиамиан,хсиамиен,шиахмианн
xиаку,хсиачу,шиахчиух
xианйин,хсиенчин,шианйинн
xианде,хсиенде,шеанде
xианран,хсиенян,шеанран
xианши,хсиенших,шеаншых
xианчанг,хсиенчанг,шианнчаанг
xиандаи,хсиентаи,шианндаы
xианйин,хсиенчин,шианнйин
xианши,хсиенших,шианншыр
xианxианг,хсиенхсианг,шианншианк
xиан,хсиен,шианн
xиангби,хсиангпи,шиангбии
xиангданг,хсиангтанг,шиангданг
xианггуан,хсиангкуан,шианггуан
xиангху,хсиангху,шиангхух
xиангси,хсиангссу,шиангсых
xианг,хсианг,шианг
xиангйиао,хсиангчиао,шиангйиау
xиаофеи,хсиаофеи,шиауфеы
xиаоши,хсиаоших,шиаушы
xиаоxи,хсиаоxи,шиауxи
xиаогуо,хсиаокуо,шиауогуоо
xиезуо,хсиехцо,шиеетзуох
xуе,хсуех,шиуех
xин,хсин,шин
xин,хсин,шинн
xинфенг,хсинфенг,шиннфенг
xинрен,хсинйен,шиннренн
xингченг,хсингченг,шынгчернг
xингши,хсингших,шынгшых
xингxианг,хсингхсианг,шынгшианк
xингжуанг,хсингчуанг,шынгюанк
xингфу,хсингфу,шинкфуоу
xингыун,хсингыун,шинкыунн
xинг,хсинг,шинк
xингбие,хсингпиех,шинкбые
xингге,хсингко,шинкгер
xиу,хсиу,шиоу
xиугаи,хсиукаи,шиоугае
xукиу,хсучиу,шиучыоу
xуыао,хсуыао,шиуыауо
xуанбу,хсуанпу,шиуанбух
xуанчуан,хсуанчуан,шиуанчуоан
xуаншоу,хсуаншоу,шеуаншооу
xуефеи,хсуехфеи,шыуефеы
xунлиан,хсунлиен,шиуннлианн
ыа,ыа,иа
ыали,ыали,иалих
ыан,ыан,иан
ыанкиан,ыанчиен,ыеанчыан
ыан,ыан,ыеан
ыанчанг,ыанчанг,ыеанчанк
ыанчангхуи,ыанчангхуи,ыеанчанкхуеы
ыанчу,ыанчу,ыеанчу
ыаныуан,ыаныуан,ыеаныуан
ыанг,ыанг,ыанг
ыанггуанг,ыангкуанг,ыанггуанг
ыаоши,ыаоши,ыауоши
ыийиа,ичиа,ийиах
ыи,и,ыии
ыилаи,илаи,ыиилаи
ыишу,ишу,ыихшух
ыиуоаи,иуоаи,ыихуоаы
ыиыи,ии,ыихыих
ыинци,ыинтзу,инцыы
ыин,ыин,ын
ыинпаи,ыинпаи,ынпаир
ыинxианг,ыинхсианг,ыинншианк
ыингданг,ыингтанг,ингданг
ыингйие,ыингчиех,ынгйие
ыингыанг,ыингыанг,ынгыеанг
ыинг,ыинг,ынг
ыингши,ыингших,ыиингшых
ыингыонг,ыингыунг,ыинкыонк
ыоудиан,ыутиен,иоудеан
ыоуши,ыуших,иоушых
ыоу,ыу,ыоу
ыоуыу,ыуыу,ыоуыу
ыоуйиан,ыучиен,ыоуйианн
ыоупиао,ыупиао,ыоупиауо
ыоуxианг,ыухсианг,ыоушианг
ыоу,ыу,ыоу
ыоуxи,ыухси,ыоуших
ыоуыонг,ыуыунг,ыоуыеонг
ыоудеши,ыудеших,ыеоудешых
ыоули,ыули,ыеоулих
ыоуxиао,ыухсиао,ыеоушиауо
ыубао,ыупао,ыухбауо
ыуфанг,ыуфанг,ыухфарнг
ыуйи,ыучи,ыухйих
ыуxи,ыухси,ыухшыи
ыуан,ыуан,ыуан
ыуангонг,ыуанкунг,ыуангонг
ыуануоанг,ыуануоанг,ыуаннуоанк
ыуе,ыуех,иуе
ыуедуи,ыуехтуи,ыуехдуеы
ыуншу,ыуншу,ыунншу
зажи,цачих,тзарйых
заоыи,цаои,тзаоыии
зао,цао,тзауо
заоченг,цаоченг,тзауочернг
зерен,цейен,тзерренн
зенгйиа,ценгчиа,тзенгйиа
зенгжанг,ценгчанг,тзенгяанг
жанкаи,чанкаи,яанкаи
жанг,чанг,янг
жао,чао,яуо
же,че,йее
женши,ченших,йеншыр
женг,ченг,йенг
женгку,ченгчу,йенгчеу
женг,ченг,йеенг
женгге,ченгко,йеенггех
женгли,ченгли,йеенглии
женгки,ченгчи,йеенгчыи
женгти,ченгти,йеенгтии
женгтиан,ченгтиен,йеенгтиан
женгженг,ченгченг,йеенгйеенг
женг,ченг,йенк
женгши,ченгших,йенкшых
женг,ченг,йенк
женгйиан,ченгчиен,йенкйианн
женгю,ченгчу,йенкйиух
женгминг,ченгминг,йенкминг
жи,чих,йы
жичи,чихчих,йычыр
жифу,чихфу,йыфух
жи,чих,йы
жи,чих,йыр
жибо,чихпо,йырбо
жидао,чихтао,йырдауо
жи,чих,йыр
жиде,чихде,йырде
жигонг,чихкунг,йыргонг
жиые,чихыех,йырыех
жихао,чиххао,йыыхао
жиши,чихших,йыышых
жиыоу,чихыу,йыыыеоу
жи,чих,йыы
жичу,чихчу,йыычу
жидао,чихтао,йыыдао
жийин,чихчин,йыхйин
жишао,чихшао,йыхшао
жиыуан,чихыуан,йыхыуанн
жиыуанже,чихыуанче,йыхыуаннйее
жидинг,чихтинг,йыхдинк
жиду,чихту,йыхдух
жизао,чихцао,йыхтзауо
жизуо,чихцо,йыхтзуох
жонгбу,чунгпу,йонгбух
жонгхуаминзу,чунгхуаминцу,йонгхуоаминтзуоу
жонгыу,чунгыу,йонгыу
жонг,чунг,йонг
жонг,чунг,йоонг
жонгзи,чунгзи,йоонгзи
жонгда,чунгта,йонкдах
жоууоеи,чоууоеи,йоууоеи
жу,чу,ю
жучи,чучих,юучыр
жудонг,чутунг,юудонк
журен,чуйен,юуренн
жуыи,чуыи,юуыи
жужанг,чучанг,юуянг
жуыи,чуи,юхыих
жу,чу,юх
жуа,чуа,юа
жуажу,чуачу,юаюх
жуанйиа,чуанчиа,юанйиа
жуанмен,чуанмен,юанмен
жуанти,чуанти,юантыи
жуаные,чуаныех,юаныех
жуан,чуан,юанн
жуанбиан,чуанпиен,йоанбианн
жуангкуанг,чуангкуанг,юанккуанк
жуангтаи,чуангтаи,юанктаы
жун,чун,йоен
зиге,тзуко,тзыгер
зийин,тзучин,тзыйин
зицонг,тзуцунг,тзыхцорнг
зидонг,тзутунг,тзыхдонк
зиюе,тзучуех,тзыхйыуе
зиран,тзуян,тзыхран
зишен,тзушен,тзыхшен
зижу,тзучу,тзыхюу
зонг,цунг,тзоонг
зонгйие,цунгчиех,тзоонгйые
зонгши,цунгших,тзоонгшых
зугоу,цукоу,тзуоугоуо
зукиу,цучиу,тзуоучыоу
зухе,цухо,тзуухер
зуоыоу,цоыу,тзуооыоуо
зуопин,цопин,тзуохпиин
зуоже,цоче,тзуохйее
аыи,аи,аыи
аи,аи,ае
аиxиао,аихсиао,аешеау
аигуо,аикуо,аыгуоо
аиху,аиху,аыхух
ан,ан,ан
анжи,анчих,анйых
анши,анших,анншыр
ан,ан,анн
анши,анших,анншых
баши,паших,башых
баихуо,паихуо,баехуох
баи,паи,бае
баидонг,паитунг,баедонк
баитуо,паито,баетуо
баи,паи,баы
банши,панших,банншых
баогуо,паокуо,баугуоо
баохан,паохан,баухарн
баокуо,паокуо,баукуох
бао,пао,бао
баобао,паобао,баобао
баобеи,паопеи,баобеы
баогуи,паокуеи,баогуеы
баоши,паоших,баошыр
баоми,паоми,баомих
баошоу,паошоу,баошооу
бао,пао,бауо
беийинг,пеичинг,беыйиинг
беи,пеи,беы
беипо,пеипо,беыпох
бенке,пенко,беенке
бен,пен,бенн
бифен,пифен,биифен
биые,пиыех,бихыех
биыешенг,пиыехшенг,бихыехшенг
би,пи,бих
бимиан,пимиен,бихмеан
биан,пиен,биан
бианлун,пиенлун,бианнлуенн
биаожи,пиаочих,биауйых
биаокинг,пиаочинг,беаучынг
биаоыанг,пиаоыанг,беауыанг
бие,пиех,бые
бинг,пинг,бинг
бингxианг,пингхсианг,бингшианг
бингxуе,пингхсуех,бингшеуе
бинг,пинг,бинг
бинг,пинг,бинк
бугуан,пукуан,бухгоан
буран,пуян,бухран
бужи,пучих,бухйых
буxинг,пухсинг,бухшынг
ца,ца,ца
цаи,цаи,цаир
цаилиао,цаилиао,цаирлиауо
цаичан,цаичан,цаирчаан
цаифу,цаифу,цаирфух
цаифанг,цаифанг,цаефаанг
цанкао,цанкао,цанкао
цаныу,цаныу,цаныух
цаочанг,цаочанг,цаучаанг
цаозуо,цаоцо,цаутзуох
це,це,цех
целианг,целианг,цехлианг
цеши,цеших,цехшых
ценг,ценг,цернг
чаые,чаыех,чарыех
чанпин,чанпин,чаанпиин
чангту,чангту,чарнгтуоу
чангши,чангших,чарнгшыр
чангпиан,чангпиен,чанкпианн
чао,чао,чау
чаоxие,чаохсиех,чаушиее
чао,чао,чаур
чаолиу,чаолиу,чаурлиоу
чаоши,чаоших,чауршы
чеди,чети,чехдии
чен,чен,черн
ченмо,ченмо,чернмох
ченжонг,ченчунг,чернйонк
ченгзан,ченгцан,ченгтзанн
ченгрен,ченгйен,чернгрен
ченгши,ченгших,чернгшыр
