Chinese,Pinyin,Wade-Giles,Romatzyh,Palladiy
顿,дун,тун ,дуенн,дунь
发表,фа биао,фа  пиао ,фа беау,фа бяо
发出,фа чу,фа  чу ,фа чу,фа чу
发达,фа да,фа  та ,фа дар,фа да
发动,фа донг,фа  тунг ,фа донк,фа дун
发明,фа минг,фа  минг ,фа минг,фа мин
发生,фа шенг,фа  шенг ,фа шенг,фа шэн
发送,фа сонг,фа  сунг ,фа сонк,фа сун
发言,фа ыан,фа  ыан ,фа ыан,фа янь
发展,фа жан,фа  чан ,фа яан,фа чжань
反对,фан дуи,фан  туи ,фаан дуеы,фань дуй
反复,фан фу,фан  фу ,фаан фух,фань фу
反应,фан ыинг,фан  ыинг ,фаан ыинк,фань ин
反正,фан женг,фан  ченг ,фаан йенк,фань чжэн
范围,фан воеи,фан  воеи ,фанн воеи,фань вэй
方式,фанг ши,фанг  ших ,фанг шых,фан ши
防,фанг,фанг ,фарнг,фан
防止,фанг жи,фанг  чих ,фарнг йыы,фан чжи
房东,фанг донг,фанг  тунг ,фарнг донг,фан дун
房屋,фанг воу,фанг  воу ,фарнг у,фан у
房租,фанг зу,фанг  цу ,фарнг тзу,фан цзу
访问,фанг воен,фанг  воен ,фаанг военн,фан вэнь
放到,фанг дао,фанг  тао ,фанк даво,фан дао
飞行,феи xинг,феи  хсинг ,феи шынг,фэй син
费,феи,феи ,феы,фэй
费用,феи ыонг,феи  ыунг ,феы ыонк,фэй юн
分别,фен бие,фен  пиех ,фен бые,фэнь бе
分配,фен пеи,фен  пеи ,фен пеы,фэнь пэй
分组,фен зу,фен  цу ,фен тзуу,фэнь цзу
丰富,фенг фу,фенг  фу ,фенг фух,фэн фу
风险,фенг xиан,фенг  хсиен ,фенг шеан,фэн сянь
否定,фоу динг,фоу  тинг ,фооу динк,фоу дин
否认,фоу рен,фоу  йен ,фооу ренн,фоу жэнь
服装,фу жуанг,фу  чуанг ,фвоу юанг,фу чжуан
福,фу,фу ,фвоу,фу
父母,фу му,фу  му ,фух муу,фу му
父亲,фу кин,фу  чин ,фух чин,фу цинь
付,фу,фу ,фух,фу
负责,фу зе,фу  це ,фух тзер,фу цзэ
复印,фу ыин,фу  ыин ,фух ыинн,фу инь
复杂,фу за,фу  ца ,фух тзар,фу цза
富,фу,фу ,фух,фу
改进,гаи йин,каи  чин ,гае йинн,гай цзинь
改造,гаи зао,каи  цао ,гае тзаво,гай цзао
概念,гаи ниан,каи  ниен ,гаы нианн,гай нянь
赶,ган,кан ,гаан,гань
赶到,ган дао,кан  тао ,гаан даво,гань дао
赶紧,ган йин,кан  чин ,гаан йиин,гань цзинь
赶快,ган куаи,кан  куаи ,гаан куаы,гань куай
敢,ган,кан ,гаан,гань
感冒,ган мао,кан  мао ,гаан маво,гань мао
感情,ган кинг,кан  чинг ,гаан чынг,гань цин
感受,ган шоу,кан  шоу ,гаан шово,гань шоу
干吗,ган ма,кан  ма ,ганн ма,гань ма
高速,гао су,као  су ,гау сух,гао су
高速公路,гао су гонг лу,као  су  кунг  лу ,гау сух гонг лух,гао су гун лу
告别,гао бие,као  пиех ,гаво бые,гао бе
歌迷,ге ми,ко  ми ,ге ми,гэ ми
歌声,ге шенг,ко  шенг ,ге шенг,гэ шэн
歌手,ге шоу,ко  шоу ,ге шооу,гэ шоу
个人,ге рен,ко  йен ,гех рен,гэ жэнь
个性,ге xинг,ко  хсинг ,гех шинк,гэ син
各,ге,ко ,гех,гэ
各地,ге ди,ко  ти ,гех дих,гэ ди
各位,ге воеи,ко  воеи ,гех воеы,гэ вэй
各种,ге жонг,ко  чунг ,гех йоонг,гэ чжун
各自,ге зи,ко  тзу ,гех тзых,гэ цзы
根本,ген бен,кен  пен ,ген беен,гэнь бэнь
更加,генг йиа,кенг  чиа ,генк йиа,гэн цзя
工厂,гонг чанг,кунг  чанг ,гонг чаанг,гун чан
工程师,гонг ченг ши,кунг  ченг  ших ,гонг чернг шы,гун чэн ши
工夫,гонг фу,кунг  фу,гонг фу,гун фу
工具,гонг ю,кунг  чу ,гонг йиух,гун цзюй
工业,гонг ые,кунг  ыех ,гонг ыех,гун е
工资,гонг зи,кунг  тзу ,гонг тзы,гун цзы
公布,гонг бу,кунг  пу ,гонг бух,гун бу
公共,гонг гонг,кунг  кунг ,гонг гонк,гун гун
公开,гонг каи,кунг  каи ,гонг каи,гун кай
公民,гонг мин,кунг  мин ,гонг мин,гун минь
公务员,гонг воу ыуан,кунг  воу  ыуан ,гонг воух ыуан,гун у юань
功夫,гонг фу,кунг  фу,гонг фу,гун фу
功课,гонг ке,кунг  ко ,гонг кех,гун кэ
功能,гонг ненг,кунг  ненг ,гонг ненг,гун нэн
共同,гонг тонг,кунг  тунг ,гонк торнг,гун тун
共有,гонг ыоу,кунг  ыу ,гонк ыеоу,гун ю
姑娘,гу нианг,ку  нианг,гу нианг,гу нян
古,гу,ку ,гуу,гу
古代,гу даи,ку  таи ,гуу даы,гу дай
故乡,гу xианг,ку  хсианг ,гух шианг,гу сян
挂,гуа,куа ,гуах,гуа
关注,гуан жу,куан  чу ,гуан юх,гуань чжу
观察,гуан ча,куан  ча ,гуан чар,гуань ча
观看,гуан кан,куан  кан ,гуан канн,гуань кань
观念,гуан ниан,куан  ниен ,гуан нианн,гуань нянь
观众,гуан жонг,куан  чунг ,гуан йонк,гуань чжун
管,гуан,куан ,гоан,гуань
管理,гуан ли,куан  ли ,гоан лии,гуань ли
光,гуанг,куанг ,гуанг,гуан
光明,гуанг минг,куанг  минг ,гуанг минг,гуан мин
广播,гуанг бо,куанг  по ,гоанг бо,гуан бо
广大,гуанг да,куанг  та ,гоанг дах,гуан да
规定,гуи динг,куеи  тинг ,гуеи динк,гуй дин
规范,гуи фан,куеи  фан ,гуеи фанн,гуй фань
国内,гуо неи,куо  неи ,гвоо неы,го нэй
国庆,гуо кинг,куо  чинг ,гвоо чинк,го цин
果然,гуо ран,куо  ян ,гуоо ран,го жань
果汁,гуо жи,куо  чих ,гуоо йы,го чжи
过程,гуо ченг,куо  ченг ,гуох чернг,го чэн
过去,гуо ку,куо  чу ,гуох чиух,го цюй
哈哈,ха ха,ха  ха ,ха ха,ха ха
海关,хаи гуан,хаи  куан ,хае гуан,хай гуань
害怕,хаи па,хаи  па ,хаы пах,хай па
行,xинг,ханг ,харнг,син
好好,хао хао,хао  хао ,хао хао,хао хао
好奇,хао ки,хао  чи ,хаво чыи,хао ци
合,хе,хо ,хер,хэ
合法,хе фа,хо  фа ,хер фаа,хэ фа
合格,хе ге,хо  ко ,хер гер,хэ гэ
合理,хе ли,хо  ли ,хер лии,хэ ли
合作,хе зуо,хо  цо ,хер тзуох,хэ цзо
和平,хе пинг,хо  пинг ,хер пынг,хэ пин
红茶,хонг ча,хунг  ча ,хорнг чар,хун ча
红酒,хонг йиу,хунг  чиу ,хорнг йеоу,хун цзю
后果,хоу гуо,хоу  куо ,хово гуоо,хоу го
后年,хоу ниан,хоу  ниен ,хово ниан,хоу нянь
互联网,ху лиан воанг,ху  лиен  воанг ,хух лиан вооанг,ху лянь ван
互相,ху xианг,ху  хсианг ,хух шианг,ху сян
划船,хуа чуан,хуа  чуан ,хвоа чвоан,хуа чуань
华人,хуа рен,хуа  йен ,хвоа рен,хуа жэнь
化,хуа,хуа ,хуах,хуа
话剧,хуа ю,хуа  чу ,хуах йиух,хуа цзюй
话题,хуа ти,хуа  ти ,хуах тыи,хуа ти
欢乐,хуан ле,хуан  ле ,хуан лех,хуань лэ
环,хуан,хуан ,хвоан,хуань
环保,хуан бао,хуан  пао ,хвоан бао,хуань бао
环境,хуан йинг,хуан  чинг ,хвоан йинк,хуань цзин
会议,хуи ыи,хуи  и ,хуеы ыих,хуэй и
会员,хуи ыуан,хуи  ыуан ,хуеы ыуан,хуэй юань
活,хуо,хуо ,хвоо,хо
火,хуо,хуо ,хуоо,хо
机器,йи ки,чи  чи ,йи чих,цзи ци
积极,йи йи,чи  чи ,йи йыи,цзи цзи
基本,йи бен,чи  пен ,йи беен,цзи бэнь
基础,йи чу,чи  чу ,йи чуу,цзи чу
及时,йи ши,чи  ших ,йыи шыр,цзи ши
…极了,… йи ле,…йиле,…йиле,цзи лэ
集体,йи ти,чи  ти ,йыи тии,цзи ти
集中,йи жонг,чи  чунг ,йыи йонг,цзи чжун
计算,йи суан,чи  суан ,йих суанн,цзи суань
记录,йи лу,чи  лу ,йих лух,цзи лу
记者,йи же,чи  че ,йих йее,цзи чжэ
纪录,йи лу,чи  лу ,йих лух,цзи лу
纪念,йи ниан,чи  ниен ,йих нианн,цзи нянь
技术,йи жу,чи  шу ,йих шух,цзи чжу
继续,йи xу,чи  хсу ,йих шиух,цзи сюй
加工,йиа гонг,чиа  кунг ,йиа гонг,цзя гун
加快,йиа куаи,чиа  куаи ,йиа куаы,цзя куай
加强,йиа кианг,чиа  чианг ,йиа чыанг,цзя цян
家具,йиа ю,чиа  чу ,йиа йиух,цзя цзюй
家属,йиа шу,чиа  шу ,йиа шуу,цзя шу
家乡,йиа xианг,чиа  хсианг ,йиа шианг,цзя сян
价格,йиа ге,чиа  ко ,йиах гер,цзя гэ
价值,йиа жи,чиа  чих ,йиах йыр,цзя чжи
架,йиа,чиа ,йиах,цзя
坚持,йиан чи,чиен  чих ,йиан чыр,цзянь чи
坚决,йиан юе,чиен  чуех ,йиан йыуе,цзянь цзюэ
坚强,йиан кианг,чиен  чианг ,йиан чыанг,цзянь цян
简单,йиан дан,чиен  тан ,йеан дан,цзянь дань
简直,йиан жи,чиен  чих ,йеан йыр,цзянь чжи
建,йиан,чиен ,йианн,цзянь
建成,йиан ченг,чиен  ченг ,йианн чернг,цзянь чэн
建立,йиан ли,чиен  ли ,йианн лих,цзянь ли
建设,йиан ше,чиен  ше ,йианн шех,цзянь шэ
建议,йиан ыи,чиен  и ,йианн ыих,цзянь и
将近,йианг йин,чианг  чин ,йианг йинн,цзян цзинь
将来,йианг лаи,чианг  лаи ,йианг лаи,цзян лай
交费,йиао феи,чиао  феи ,йиау феы,цзяо фэй
交警,йиао йинг,чиао  чинг ,йиау йиинг,цзяо цзин
交流,йиао лиу,чиао  лиу ,йиау лиоу,цзяо лю
交往,йиао воанг,чиао  воанг ,йиау вооанг,цзяо ван
交易,йиао ыи,чиао  и ,йиау ыих,цзяо и
叫,йиао,чиао ,йиаво,цзяо
较,йиао,чиао ,йиаво,цзяо
教材,йиао цаи,чиао  цаи ,йиаво цаир,цзяо цай
教练,йиао лиан,чиао  лиен ,йиаво лианн,цзяо лянь
接待,йие даи,чиех  таи ,йие даы,цзе дай
接近,йие йин,чиех  чин ,йие йинн,цзе цзинь
节约,йие ыуе,чиех  ыуех ,йые иуе,цзе юэ
结合,йие хе,чиех  хо ,йые хер,цзе хэ
结婚,йие хун,чиех  хун ,йые хуен,цзе хунь
结束,йие шу,чиех  шу ,йые шух,цзе шу
解决,йие юе,чиех  чуех ,йиее йыуе,цзе цзюэ
解开,йие каи,чиех  каи ,йиее каи,цзе кай
金,йин,чин ,йин,цзинь
金牌,йин паи,чин  паи ,йин паир,цзинь пай
仅,йин,чин ,йиин,цзинь
仅仅,йин йин,чин  чин ,йиин йиин,цзинь цзинь
尽量,йин лианг,чин  лианг ,йиин лианк,цзинь лян
紧,йин,чин ,йиин,цзинь
紧急,йин йи,чин  чи ,йиин йыи,цзинь цзи
紧张,йин жанг,чин  чанг ,йиин янг,цзинь чжан
进步,йин бу,чин  пу ,йинн бух,цзинь бу
进展,йин жан,чин  чан ,йинн яан,цзинь чжань
近期,йин ки,чин  чи ,йинн чи,цзинь ци
京剧,йинг ю,чинг  чу ,йинг йиух,цзин цзюй
经济,йинг йи,чинг  чи ,йинг йих,цзин цзи
经历,йинг ли,чинг  ли ,йинг лих,цзин ли
经验,йинг ыан,чинг  ыан ,йинг ыанн,цзин янь
经营,йинг ыинг,чинг  ыинг ,йинг ынг,цзин ин
精彩,йинг цаи,чинг  цаи ,йинг цае,цзин цай
精神,йинг шен,чинг  шен ,йинг шерн,цзин шэнь
景色,йинг се,чинг  се ,йиинг сех,цзин сэ
警察,йинг ча,чинг  ча ,йиинг чар,цзин ча
静,йинг,чинг ,йинк,цзин
久,йиу,чиу ,йеоу,цзю
旧,йиу,чиу ,йиово,цзю
救,йиу,чиу ,йиово,цзю
就是,йиу ши,чиу  ших ,йиово шых,цзю ши
就业,йиу ые,чиу  ыех ,йиово ыех,цзю е
举办,ю бан,чу  пан ,йеу банн,цзюй бань
具体,ю ти,чу  ти ,йиух тии,цзюй ти
具有,ю ыоу,чу  ыу ,йиух ыеоу,цзюй ю
剧场,ю чанг,чу  чанг ,йиух чаанг,цзюй чан
据说,ю шуо,чу  шуо ,йиух шуо,цзюй шо
决定,юе динг,чуех  тинг ,йыуе динк,цзюэ дин
决赛,юе саи,чуех  саи ,йыуе саы,цзюэ сай
决心,юе xин,чуех  хсин ,йыуе шин,цзюэ синь
绝对,юе дуи,чуех  туи ,йыуе дуеы,цзюэ дуй
咖啡,ка феи,ка  феи ,ка феи,ка фэй
开发,каи фа,каи  фа ,каи фа,кай фа
开放,каи фанг,каи  фанг ,каи фанк,кай фан
开始,каи ши,каи  ших ,каи шыы,кай ши
开业,каи ые,каи  ыех ,каи ыех,кай е
开展,каи жан,каи  чан ,каи яан,кай чжань
考验,као ыан,као  ыан ,као ыанн,као янь
科技,ке йи,ко  чи ,ке йих,кэ цзи
可靠,ке као,ко  као ,кее каво,кэ као
可乐,ке ле,ко  ле ,кее лех,кэ лэ
克服,ке фу,ко  фу ,кех фвоу,кэ фу
客观,ке гуан,ко  куан ,кех гуан,кэ гуань
课程,ке ченг,ко  ченг ,кех чернг,кэ чэн
空,конг,кунг ,конг,кун
空调,конг диао,кунг  тиао ,конг тыау,кун дяо
恐怕,конг па,кунг  па ,коонг пах,кун па
空儿,конг ер,кунг  р,конк р,кун эр
裤子,ку зи,ку  зи,кух зи,ку цзы
快速,куаи су,куаи  су ,куаы сух,куай су
困,кун,кун ,куенн,кунь
浪费,ланг феи,ланг  феи ,ланк феы,лан фэй
老百姓,лао баи xинг,лао  паи  хсинг ,лао бае шинк,лао бай син
老板,лао бан,лао  пан ,лао баан,лао бань
老太太,лао таи таи,лао  таи  таи,лао таы таи,лао тай тай
老头儿,лао тоу ер,лао  тоу  р,лао тоур р,лао тоу эр
乐,ле,ле ,лех,лэ
乐观,ле гуан,ле  куан ,лех гуан,лэ гуань
类,леи,леи ,леы,лэй
类似,леи си,леи  ссу ,леы сых,лэй сы
离婚,ли хун,ли  хун ,ли хуен,ли хунь
里面,ли миан,ли  миен ,лии мианн,ли мянь
理发,ли фа,ли  фа ,лии фах,ли фа
理解,ли йие,ли  чиех ,лии йиее,ли цзе
理论,ли лун,ли  лун ,лии луенн,ли лунь
理由,ли ыоу,ли  ыу ,лии ыоу,ли ю
力,ли,ли ,лих,ли
立刻,ли ке,ли  ко ,лих кех,ли кэ
利用,ли ыонг,ли  ыунг ,лих ыонк,ли юн
连,лиан,лиен ,лиан,лянь
连忙,лиан манг,лиен  манг ,лиан манг,лянь ман
连续,лиан xу,лиен  хсу ,лиан шиух,лянь сюй
连续剧,лиан xу ю,лиен  хсу  чу ,лиан шиух йиух,лянь сюй цзюй
联合,лиан хе,лиен  хо ,лиан хер,лянь хэ
联合国,лиан хе гуо,лиен  хо  куо ,лиан хер гвоо,лянь хэ го
联系,лиан xи,лиен  хси ,лиан ших,лянь си
凉水,лианг шуи,лианг  шуи ,лианг шоеи,лян шуй
了,ле,ле,ле,лэ
领,линг,линг ,лиинг,лин
领导,линг дао,линг  тао ,лиинг дао,лин дао
领先,линг xиан,линг  хсиен ,лиинг шиан,лин сянь
另外,линг воаи,линг  воаи ,линк воаы,лин вай
留学,лиу xуе,лиу  хсуех ,лиоу шыуе,лю сюэ
龙,лонг,лунг ,лонг,лун
录,лу,лу ,лух,лу
录音,лу ыин,лу  ыин ,лух ин,лу инь
路线,лу xиан,лу  хсиен ,лух шианн,лу сянь
乱,луан,луан ,луанн,луань
落后,луо хоу,ло  хоу ,луох хово,ло хоу
麻烦,ма фан,ма  фан,ма фан,ма фань
马,ма,ма ,маа,ма
满足,ман зу,ман  цу ,маан тзвоу,мань цзу
慢慢,ман ман,ман  ман ,манн манн,мань мань
毛,мао,мао ,мау,мао
毛病,мао бинг,мао  пинг ,мау бинк,мао бин
没用,меи ыонг,меи  ыунг ,меи ыонк,мэй юн
媒体,меи ти,меи  ти ,меи тии,мэй ти
每,меи,меи ,мееи,мэй
美,меи,меи ,мееи,мэй
美好,меи хао,меи  хао ,мееи хао,мэй хао
美丽,меи ли,меи  ли ,мееи лих,мэй ли
美食,меи ши,меи  ших ,мееи шыр,мэй ши
美术,меи жу,меи  шу ,мееи шух,мэй чжу
美元,меи ыуан,меи  ыуан ,мееи ыуан,мэй юань
迷,ми,ми ,ми,ми
米,ми,ми ,мии,ми
面对,миан дуи,миен  туи ,мианн дуеы,мянь дуй
面积,миан йи,миен  чи ,мианн йи,мянь цзи
民间,мин йиан,мин  чиен ,мин йиан,минь цзянь
民族,мин зу,мин  цу ,мин тзвоу,минь цзу
明确,минг куе,минг  чуех ,минг чиуех,мин цюэ
明显,минг xиан,минг  хсиен ,минг шеан,мин сянь
命运,минг ыун,минг  ыун ,минк ыунн,мин юнь
某,моу,моу ,мооу,моу
母亲,му кин,му  чин ,муу чин,му цинь
木头,му тоу,му  тоу,мух тоу,му тоу
目标,му биао,му  пиао ,мух биау,му бяо
目前,му киан,му  чиен ,мух чыан,му цянь
奶茶,наи ча,наи  ча ,нае чар,най ча
男子,нан зи,нан  тзу ,нан тзыы,цзы
南部,нан бу,нан  пу ,нан бух,бу
难道,нан дао,нан  тао ,нан даво,дао
难度,нан ду,нан  ту ,нан дух,ду
内,неи,неи ,неы,нэй
内容,неи ронг,неи  юнг ,неы ронг,нэй жун
内心,неи xин,неи  хсин ,неы шин,нэй синь
能不能,ненг бу ненг,ненг  буненг,ненг буненг,нэн бу нэн
能力,ненг ли,ненг  ли ,ненг лих,нэн ли
年初,ниан чу,ниен  чу ,ниан чу,нянь чу
年代,ниан даи,ниен  таи ,ниан даы,нянь дай
年底,ниан ди,ниен  ти ,ниан дии,нянь ди
年纪,ниан йи,ниен  чи ,ниан йих,нянь цзи
念,ниан,ниен ,нианн,нянь
牛,ниу,ниу ,ниоу,ню
农村,нонг цун,нунг  цун ,нонг цуен,нун цунь
农民,нонг мин,нунг  мин ,нонг мин,нун минь
农业,нонг ые,нунг  ыех ,нонг ыех,нун е
暖和,нуан хе,нуан  хуо,ноан хуо,нуань хэ
怕,па,па ,пах,па
拍,паи,паи ,паи,пай
排,паи,паи ,паир,пай
排名,паи минг,паи  минг ,паир минг,пай мин
牌子,паи зи,паи  зи,паир зи,пай цзы
派,паи,паи ,паы,пай
判断,пан дуан,пан  туан ,панн дуанн,пань дуань
跑步,пао бу,пао  пу ,пао бух,пао бу
配,пеи,пеи ,пеы,пэй
配合,пеи хе,пеи  хо ,пеы хер,пэй хэ
批评,пи пинг,пи  пинг ,пи пынг,пи пин
批准,пи жун,пи  чун ,пи йоен,пи чжунь
皮,пи,пи ,пыи,пи
皮包,пи бао,пи  пао ,пыи бау,пи бао
啤酒,пи йиу,пи  чиу ,пыи йеоу,пи цзю
票价,пиао йиа,пиао  чиа ,пиаво йиах,пяо цзя
评价,пинг йиа,пинг  чиа ,пынг йиах,пин цзя
苹果,пинг гуо,пинг  куо ,пынг гуоо,пин го
破,по,по ,пох,по
破坏,по хуаи,по  хуаи ,пох хуаы,по хуай
普遍,пу биан,пу  пиен ,пуу бианн,пу бянь
普及,пу йи,пу  чи ,пуу йыи,пу цзи
期,ки,чи ,чи,ци
齐,ки,чи ,чыи,ци
其次,ки ци,чи  тзу ,чыи цых,ци цы
其实,ки ши,чи  ших ,чыи шыр,ци ши
奇怪,ки гуаи,чи  куаи ,чыи гуаы,ци гуай
气候,ки хоу,чи  хоу ,чих хово,ци хоу
千万,киан воан,чиен  воан ,чиан воанн,цянь вань
前后,киан хоу,чиен  хоу ,чыан хово,цянь хоу
前进,киан йин,чиен  чин ,чыан йинн,цянь цзинь
前面,киан миан,чиен  миен ,чыан мианн,цянь мянь
前往,киан воанг,чиен  воанг ,чыан вооанг,цянь ван
强,кианг,чианг ,чыанг,цян
强大,кианг да,чианг  та ,чыанг дах,цян да
强调,кианг диао,чианг  тиао ,чыанг диаво,цян дяо
强烈,кианг лие,чианг  лиех ,чыанг лиех,цян ле
桥,киао,чиао ,чыау,цяо
巧,киао,чиао ,чеау,цяо
亲,кин,чин ,чин,цинь
亲切,кин кие,чин  чиех ,чин чиех,цинь це
亲人,кин рен,чин  йен ,чин рен,цинь жэнь
亲自,кин зи,чин  тзу ,чин тзых,цинь цзы
情感,кинг ган,чинг  кан ,чынг гаан,цин гань
情况,кинг куанг,чинг  куанг ,чынг куанк,цин куан
请教,кинг йиао,чинг  чиао ,чиинг йиаво,цин цзяо
庆祝,кинг жу,чинг  чу ,чинк юх,цин чжу
球迷,киу ми,чиу  ми ,чыоу ми,цю ми
区,ку,чу ,чиу,цюй
区别,ку бие,чу  пиех ,чиу бые,цюй бе
取消,ку xиао,чу  хсиао ,чеу шиау,цюй сяо
去世,ку ши,чу  ших ,чиух шых,цюй ши
全场,куан чанг,чуан  чанг ,чыуан чаанг,цюань чан
全面,куан миан,чуан  миен ,чыуан мианн,цюань мянь
全球,куан киу,чуан  чиу ,чыуан чыоу,цюань цю
缺,куе,чуех ,чиуе,цюэ
缺点,куе диан,чуех  тиен ,чиуе деан,цюэ дянь
缺少,куе шао,чуех  шао ,чиуе шао,цюэ шао
确保,куе бао,чуех  пао ,чиуех бао,цюэ бао
确定,куе динг,чуех  тинг ,чиуех динк,цюэ дин
确实,куе ши,чуех  ших ,чиуех шыр,цюэ ши
裙子,кун зи,чун  зи,чыун зи,цюнь цзы
群,кун,чун ,чыун,цюнь
热爱,ре аи,йе  аи ,рех аы,жэ ай
热烈,ре лие,йе  лиех ,рех лиех,жэ ле
人才,рен цаи,йен  цаи ,рен цаир,жэнь цай
人工,рен гонг,йен  кунг ,рен гонг,жэнь гун
人类,рен леи,йен  леи ,рен леы,жэнь лэй
人民,рен мин,йен  мин ,рен мин,жэнь минь
人民币,рен мин би,йен  мин  пи ,рен мин бих,жэнь минь би
人群,рен кун,йен  чун ,рен чыун,жэнь цюнь
人生,рен шенг,йен  шенг ,рен шенг,жэнь шэн
人员,рен ыуан,йен  ыуан ,рен ыуан,жэнь юань
认出,рен чу,йен  чу ,ренн чу,жэнь чу
认可,рен ке,йен  ко ,ренн кее,жэнь кэ
任,рен,йен ,ренн,жэнь
任,рен,йен ,ренн,жэнь
任何,рен хе,йен  хо ,ренн хер,жэнь хэ
任务,рен воу,йен  воу,ренн воу,жэнь у
仍,ренг,йенг ,ренг,жэн
仍然,ренг ран,йенг  ян ,ренг ран,жэн жань
日常,ри чанг,йих  чанг ,рых чарнг,жи чан
容易,ронг ыи,юнг  и ,ронг ыих,жун и
如何,ру хе,ю  хо ,ру хер,жу хэ
散步,сан бу,сан  пу ,санн бух,сань бу
沙发,ша фа,ша  фа ,ша фа,ша фа
沙子,ша зи,ша  зи,ша зи,ша цзы
伤,шанг,шанг ,шанг,шан
伤心,шанг xин,шанг  хсин ,шанг шин,шан синь
商品,шанг пин,шанг  пин ,шанг пиин,шан пинь
商业,шанг ые,шанг  ыех ,шанг ыех,шан е
上来,шанг лаи,шанг  лаи ,шанк лаи,шан лай
上面,шанг миан,шанг  миен ,шанк мианн,шан мянь
上去,шанг ку,шанг  чу ,шанк чиух,шан цюй
上升,шанг шенг,шанг  шенг ,шанк шенг,шан шэн
上衣,шанг ыи,шанг  и ,шанк и,шан и
设备,ше беи,ше  пеи ,шех беы,шэ бэй
设计,ше йи,ше  чи ,шех йих,шэ цзи
设立,ше ли,ше  ли ,шех лих,шэ ли
社会,ше хуи,ше  хуи ,шех хуеы,шэ хуэй
身份证,шен фен женг,шен  фен  ченг ,шен фенн йенк,шэнь фэнь чжэн
深,шен,шен ,шен,шэнь
深刻,шен ке,шен  ко ,шен кех,шэнь кэ
深入,шен ру,шен  ю ,шен рух,шэнь жу
升,шенг,шенг ,шенг,шэн
生,шенг,шенг ,шенг,шэн
生产,шенг чан,шенг  чан ,шенг чаан,шэн чань
生存,шенг цун,шенг  цун ,шенг цвоен,шэн цунь
生动,шенг донг,шенг  тунг ,шенг донк,шэн дун
生命,шенг минг,шенг  минг ,шенг минк,шэн мин
生长,шенг чанг,шенг  чанг ,шенг яанг,шэн чан
声明,шенг минг,шенг  минг ,шенг минг,шэн мин
胜,шенг,шенг ,шенк,шэн
胜利,шенг ли,шенг  ли ,шенк лих,шэн ли
失去,ши ку,ших  чу ,шы чиух,ши цюй
石头,ши тоу,ших  тоу,шыр тоу,ши тоу
石油,ши ыоу,ших  ыу ,шыр ыоу,ши ю
时,ши,ших ,шыр,ши
时代,ши даи,ших  таи ,шыр даы,ши дай
时刻,ши ке,ших  ко ,шыр кех,ши кэ
实际上,ши йи шанг,ших  чи  шанг ,шыр йих шанк,ши цзи шан
实力,ши ли,ших  ли ,шыр лих,ши ли
实行,ши xинг,ших  хсинг ,шыр шынг,ши син
实验,ши ыан,ших  ыан ,шыр ыанн,ши янь
实验室,ши ыан ши,ших  ыан  ших ,шыр ыанн шых,ши янь ши
食品,ши пин,ших  пин ,шыр пиин,ши пинь
使,ши,ших ,шыы,ши
始终,ши жонг,ших  чунг ,шыы йонг,ши чжун
世纪,ши йи,ших  чи ,шых йих,ши цзи
世界,ши йие,ших  чиех ,шых йиех,ши цзе
世界杯,ши йие беи,ших  чиех  пеи ,шых йиех беи,ши цзе бэй
市场,ши чанг,ших  чанг ,шых чаанг,ши чан
事故,ши гу,ших  ку ,шых гух,ши гу
事件,ши йиан,ших  чиен ,шых йианн,ши цзянь
事实,ши ши,ших  ших ,шых шыр,ши ши
事实上,ши ши шанг,ших  ших  шанг ,шых шыр шанк,ши ши шан
事业,ши ые,ших  ыех ,шых ыех,ши е
试题,ши ти,ших  ти ,шых тыи,ши ти
试验,ши ыан,ших  ыан ,шых ыанн,ши янь
适合,ши хе,ших  хо ,шых хер,ши хэ
适应,ши ыинг,ших  ыинг ,шых ыинк,ши ин
适用,ши ыонг,ших  ыунг ,шых ыонк,ши юн
室,ши,ших ,шых,ши
收费,шоу феи,шоу  феи ,шоу феы,шоу фэй
收看,шоу кан,шоу  кан ,шоу канн,шоу кань
收听,шоу тинг,шоу  тинг ,шоу тинг,шоу тин
收音机,шоу ыин йи,шоу  ыин  чи ,шоу ин йи,шоу инь цзи
手续,шоу xу,шоу  хсу ,шооу шиух,шоу сюй
手指,шоу жи,шоу  чих ,шооу йыы,шоу чжи
首都,шоу ду,шоу  ту ,шооу ду,шоу ду
首先,шоу xиан,шоу  хсиен ,шооу шиан,шоу сянь
受,шоу,шоу ,шово,шоу
受伤,шоу шанг,шоу  шанг ,шово шанг,шоу шан
书架,шу йиа,шу  чиа ,шу йиах,шу цзя
输,шу,шу ,шу,шу
输入,шу ру,шу  ю ,шу рух,шу жу
熟人,шу рен,шу  йен ,швоу рен,шу жэнь
属,шу,шу ,шуу,шу
属于,шу ыу,шу  ыу ,шуу ыу,шу юй
束,шу,шу ,шух,шу
数量,шу лианг,шу  лианг ,шух лианк,шу лян
双,шуанг,шуанг ,шуанг,шуан
双方,шуанг фанг,шуанг  фанг ,шуанг фанг,шуан фан
思想,си xианг,ссу  хсианг ,сы шеанг,сы сян
死,си,ссу ,сыы,сы
速度,су ду,су  ту ,сух дух,су ду
随,суи,суи ,своеи,суй
所,суо,со ,суоо,со
台,таи,таи ,таир,тай
谈,тан,тан ,тарн,тань
谈话,тан хуа,тан  хуа ,тарн хуах,тань хуа
