Pinyin,Wade-Giles,Romatzyh,Palladiy,Result
дун,тун ,дуен,дунь,дун
дуо,то ,дуоо,до,дуо
дуо,то ,дуоо,до,дуо
фа,фа ,фар,фа,фа
фенг,фенг ,фенг,фэн,фенг
фенг,фенг ,фенг,фэн,фенг
фу,фу ,фвоу,фу,фу
фу,фу ,фвоу,фу,фу
гао,као ,гао,гао,гао
гоу,коу ,гоу,гоу,гоу
гу,ку ,гуу,гу,гу
гуаи,куаи ,гуаы,гуай,гуаи
гуи,куеи ,гоеи,гуй,гуе
гун,кун ,гоен,гунь,гун
гуо,куо ,гуо,го,гуо
хаи,хаи ,хаы,хай,хаи
хан,хан ,ханн,хань,хан
хе,хо ,хер,хэ,хе
хен,хен ,хенн,хэнь,хен
хоу,хоу ,хоур,хоу,хоу
ху,ху ,хуу,ху,ху
хуа,хуа ,хвоа,хуа,хуа
хуанг,хуанг ,хуанг,хуан,хуанг
йи,чи ,йии,цзи,йии
йиа,чиа ,йиа,цзя,йиа
йиа,чиа ,йеа,цзя,йиа
йиа,чиа ,йиах,цзя,йиа
йиан,чиен ,йиан,цзянь,йиан
йиан,чиен ,йеан,цзянь,йиан
йиан,чиен ,йианн,цзянь,йиан
йианг,чианг ,йианг,цзян,йианг
йие,чиех ,йиех,цзе,йие
йие,чиех ,йиех,цзе,йие
ке,ко ,ке,кэ,ке
ке,ко ,кее,кэ,ке
ке,ко ,кех,кэ,ке
ку,ку ,кух,ку,ку
куанг,куанг ,квоанг,куан,куанг
ыу,куеи ,куеи,юй,ку
луо,ла ,лах,ло,лао
лан,лан ,ланн,лань,лан
ли,ли ,ли,ли,ли
ли,ли ,лии,ли,ли
ли,ли ,лих,ли,ли
линг,линг ,линг,лин,линг
линг,линг ,линк,лин,линг
лоу,лоу ,лово,лоу,лоу
ма,ма ,мах,ма,ма
мао,мао ,маво,мао,мао
меи,меи ,меи,мэй,меи
миао,миао ,меау,мяо,миао
ниу,ниу ,ниоу,ню,ниу
нуан,нуан ,ноан,нуань,нуан
панг,панг ,парнг,пан,панг
пеи,пеи ,пеир,пэй,пеи
пеи,пеи ,пеир,пэй,пеи
пен,пен ,пен,пэнь,пен
пен,пен ,перн,пэнь,пен
пи,пи ,пи,пи,пи
пиан,пиен ,пианн,пянь,пиан
пин,пин ,пин,пинь,пин
пин,пин ,пиин,пинь,пин
пин,пин ,пиин,пинь,пин
пинг,пинг ,пынг,пин,пинг
по,по ,по,по,по
ки,чи ,чыи,ци,чи
киан,чиен ,чиан,цянь,чиан
киан,чиен ,чианн,цянь,чиан
кианг,чианг ,чианг,цян,чианг
киао,чиао ,чиау,цяо,чиао
киао,чиао ,чыау,цяо,чиао
кин,чин ,чын,цинь,чин
кинг,чинг ,чинг,цин,чинг
куан,чуан ,чыуан,цюань,чуан
куан,чуан ,чиуанн,цюань,чуан
ран,ян ,раан,жань,ран
рао,яо ,раво,жао,рао
рен,йен ,реен,жэнь,рен
рен,йен ,ренн,жэнь,рен
ренг,йенг ,рхенг,жэн,ренг
руан,юан ,роан,жуань,руан
са,са ,саа,са,са
сан,сан ,саан,сань,сан
ша,ша ,ша,ша,ша
ша,ша ,шаа,ша,ша
шан,шан ,шан,шань,шан
шан,шан ,шанн,шань,шан
шао,шао ,шау,шао,шао
ше,ше ,шер,шэ,ше
ше,ше ,шех,шэ,ше
ше,ше ,шех,шэ,ше
шен,шен ,шен,шэнь,шен
шен,шен ,шерн,шэнь,шен
шенг,шенг ,шенг,шэн,шенг
шенг,шенг ,шенк,шэн,шенг
ши,ших ,шыр,ши,ши
ши,ших ,шых,ши,ши
шоу,шоу ,шово,шоу,шоу
шу,шу ,шуу,шу,шу
шуаи,шуаи ,шуаи,шуай,шуаи
соу,соу ,соу,соу,соу
суи,суи ,суеы,суй,суи
суо,со ,суоо,со,суо
таи,таи ,таир,тай,таи
дан,тан ,тарн,дань,дан
тао,тао ,таур,тао,тао
тао,тао ,таур,тао,тао
тинг,тинг ,тинг,тин,тинг
тоу,тоу ,тоу,тоу,тоу
ту,ту ,туу,ту,ту
ту,ту ,тух,ту,ту
ту,ту ,тух,ту,ту
воеи,воеи ,воеы,вэй,воеи
воо,воо ,воох,во,воо
воу,воу ,у,у,во
воу,воу ,воуу,у,воу
xи,хси ,ших,си,xи
xиа,хсиа ,шиах,ся,xиа
xиан,хсиен ,шыан,сянь,xиан
xиан,хсиен ,шеан,сянь,xиан
xиан,хсиен ,шианн,сянь,xиан
xианг,хсианг ,шианг,сян,xианг
xие,хсиех ,шие,се,xие
xие,хсиех ,шые,се,xие
xионг,хсиунг ,шыонг,сюн,xионг
ыао,ыао ,ыеау,яо,ыао
ыи,и ,ыии,и,ыи
ыинг,ыинг ,инг,ин,ыинг
ыинг,ыинг ,ыинк,ин,ыинг
ыуан,ыуан ,ыуанн,юань,ыуан
ыуан,ыуан ,ыуанн,юань,ыуан
ыун,ыун ,ыунн,юнь,ыун
заи,цаи ,тзаи,цзай,цаи
зао,цао ,тзау,цзао,цао
зенг,ценг ,тзенг,цзэн,ценг
зенг,ценг ,тзенк,цзэн,ценг
жаи,чаи ,яи,чжай,чаи
жанг,чанг ,яанг,чжан,чанг
женг,ченг ,йенк,чжэн,ченг
жи,чих ,йых,чжи,чих
жуанг,чуанг ,юанк,чжуан,чуанг
зи,тзу ,тзыы,цзы,тзы
зуи,цуи ,тзуеы,цзуй,цуи
аи,аи ,аир,ай,аи
бао,пао ,баво,бао,бао
бен,пен ,беен,бэнь,бен
би,пи ,би,би,би
би,пи ,бих,би,би
биан,пиен ,бианн,бянь,биан
бо,по ,бо,бо,бо
бу,пу ,буу,бу,бу
цаи,цаи ,цае,цай,цаи
цан,цан ,цан,цань,цан
цан,цан ,цаан,цань,цан
це,це ,цех,цэ,це
чао,чао ,чау,чао,чао
чао,чао ,чао,чао,чао
ченг,ченг ,ченг,чэн,ченг
ченг,ченг ,чернг,чэн,ченг
чонг,чунг ,чонг,чун,чонг
чу,чу ,чвоу,чу,чу
чуан,чуан ,чуанн,чуань,чуан
цу,цу ,цух,цу,цу
да,та ,да,да,да
данг,танг ,даанг,дан,данг
данг,танг ,данг,дан,данг
дао,тао ,дао,дао,дао
ди,ти ,ди,ди,ди
диао,тиао ,диаво,дяо,диао
дие,тиех ,дие,де,дие
ду,ту ,дуу,ду,ду
ду,ту ,дух,ду,ду
дуан,туан ,дуан,дуань,дуан
дун,тун ,дуен,дунь,дун
дуо,то ,двоо,до,доо
фан,фан ,фан,фань,фан
фан,фан ,фанн,фань,фан
феи,феи ,феы,фэй,феи
фо,фо ,фор,фо,фо
фу,фу ,фвоу,фу,фу
фу,фу ,фвоу,фу,фу
фу,фу ,фух,фу,фу
фу,фу ,фух,фу,фу
фу,фу ,фух,фу,фу
ган,кан ,ган,гань,ган
ган,кан ,ган,гань,ган
гонг,кунг ,гонг,гун,гонг
гонг,кунг ,гонг,гун,гонг
гу,ку ,гуу,гу,гу
гу,ку ,гух,гу,гу
гуа,куа ,гуа,гуа,гуа
гуаи,куаи ,гоаи,гуай,гуаи
гуи,куеи ,гуеы,гуй,гуе
хен,хен ,хеен,хэнь,хен
хенг,хенг ,хернг,хэн,хенг
ху,ху ,хвоу,ху,ху
ху,ху ,хух,ху,ху
хуи,хуи ,хоеи,хуэй,хуи
хун,хун ,хуен,хунь,хун
йи,чи ,йыи,цзи,йии
йиан,чиен ,йиан,цзянь,йиан
йиан,чиен ,йеан,цзянь,йиан
йиан,чиен ,йианн,цзянь,йиан
йиан,чиен ,йианн,цзянь,йиан
йианг,чианг ,йианк,цзян,йианг
юе,чиао ,йиаво,цзюэ,юиа
йие,чиех ,йие,цзе,йие
йие,чиех ,йые,цзе,йие
йие,чиех ,йиех,цзе,йие
йие,чиех ,йиех,цзе,йие
йин,чин ,йинн,цзинь,йинн
йинг,чинг ,йинг,цзин,йинг
йинг,чинг ,йиинг,цзин,йинг
йинг,чинг ,йиинг,цзин,йинг
йинг,чинг ,йинк,цзин,йинг
ю,чу ,йыу,цзюй,ю
ю,чу ,йиух,цзюй,ю
ю,чу ,йиух,цзюй,ю
юан,чуан ,йиуан,цзюань,юанан
юе,чуех ,йыуе,цзюэ,юе
кан,кан ,кан,кань,кан
кен,кен ,кеен,кэнь,кен
коу,коу ,ково,коу,коу
ку,ку ,кух,ку,ку
куа,куа ,куах,куа,куа
куанг,куанг ,куанк,куан,куанг
куо,куо ,куох,ко,куо
лаи,лаи ,лаы,лай,лаи
лан,лан ,лаан,лань,лан
лао,лао ,лау,лао,лао
ли,ли ,лии,ли,ли
ли,ли ,лих,ли,ли
ли,ли ,лих,ли,ли
лиао,лиао ,лиау,ляо,лиао
лиао,лиао ,лиаво,ляо,лиао
лиао,лиао ,лиаво,ляо,лиао
лие,лиех ,лиех,ле,лие
линг,линг ,линк,лин,линг
лу,лоу ,лово,лу,лу
лу,лу ,лух,лу,лу
маи,маи ,маи,май,маи
менг,менг ,менг,мэн,менг
менг,менг ,меенг,мэн,менг
миан,миен ,миан,мянь,миан
миао,миао ,миаво,мяо,миао
мие,миех ,миех,ме,мие
минг,минг ,минк,мин,минг
мо,мо ,мо,мо,мо
мо,мо ,мо,мо,мо
му,му ,муу,му,му
му,му ,мух,му,му
ни,ни ,ни,ни,ни
ниу,ниу ,неоу,ню,ниу
пан,пан ,панн,пань,пан
пиан,пиен ,пиан,пянь,пиан
пинг,пинг ,пынг,пин,пинг
по,по ,по,по,по
пу,пу ,пу,пу,пу
пу,пу ,пу,пу,пу
киан,чиен ,чиан,цянь,чиан
кинг,чинг ,чинг,цин,чинг
куан,чуан ,чыуан,цюань,чуан
куан,чуан ,чиуанн,цюань,чуан
ру,ю ,ру,жу,ру
ру,ю ,рух,жу,ру
руо,йо ,руох,жо,руо
саи,саи ,саи,сай,саи
саи,саи ,саы,сай,саи
шао,шао ,шаур,шао,шао
ши,ших ,шыр,ши,ши
шоу,шоу ,шооу,шоу,шоу
шуанг,шуанг ,шоанг,шуан,шуанг
шуи,шуи ,шуеы,шуй,шуи
шун,шун ,шуенн,шунь,шун
си,ссу ,сых,сы,сы
суи,суи ,суеи,суй,суи
суо,со ,суоо,со,суо
та,та ,таа,та,та
танг,танг ,танк,тан,танг
тао,тао ,тау,тао,тао
те,те ,тех,тэ,те
ти,ти ,ти,ти,ти
тиан,тиен ,тиан,тянь,тиан
тиан,тиен ,тыан,тянь,тиан
тонг,тунг ,торнг,тун,тонг
ту,ту ,туу,ту,ту
тун,тун ,туен,тунь,тун
туо,то ,туо,то,туо
туо,то ,туо,то,туо
воа,воа ,уа,ва,воа
воу,воу ,воух,у,воу
xиан,хсиен ,шыан,сянь,xиан
xиан,хсиен ,шеан,сянь,xиан
xинг,хсинг ,шынг,син,xинг
xионг,хсиунг ,шионг,сюн,xионг
xуан,хсуан ,шыуан,сюань,xуанн
ыан,ыан ,ыан,янь,ыан
ыанг,ыанг ,ыанг,ян,ыанг
ыанг,ыанг ,ыеанг,ян,ыанг
ыанг,ыанг ,ыанк,ян,ыанг
ые,ыех ,ыее,е,ые
ыин,ыин ,ин,инь,ыин
ыин,ыин ,ыинн,инь,ыин
ыу,ыу ,ыу,юй,ыу
ыу,ыу ,ыеу,юй,ыу
ыуан,ыуан ,ыуан,юань,ыуан
ыуан,ыуан ,ыуан,юань,ыуан
ыун,ыун ,иун,юнь,ыун
за,ца ,тзар,цза,цаа
жа,ча ,я,чжа,ча
жа,ча ,ях,чжа,ча
жаи,чаи ,яы,чжай,чаи
жанг,чанг ,янг,чжан,чанг
чанг,чанг ,яанг,чан,чанг
жанг,чанг ,янк,чжан,чанг
жанг,чанг ,яанг,чжан,чанг
жао,чао ,яу,чжао,чао
жен,чен ,йенн,чжэнь,ченн
жи,чих ,йы,чжи,чи
жи,чих ,йы,чжи,чи
жи,чих ,йыы,чжи,чи
жонг,чунг ,йоонг,чжун,чонг
жоу,чоу ,йоу,чжоу,чоу
жу,чу ,юу,чжу,чу
жу,чу ,юх,чжу,чу
жуан,чуан ,юанн,чжуань,чуан
жуан,чуан ,юанн,чжуань,чуан
жуо,чо ,юо,чжо,чоо
зоу,цоу ,тзово,цзоу,цоу
зу,цу ,тзвоу,цзу,цу
зу,цу ,тзвоу,цзу,цу
зу,цу ,тзвоу,цзу,цу
зуан,цуан ,тзуанн,цзуань,цуанн
зуи,цуи ,тзуеы,цзуй,цуи
зуо,цо ,тзуох,цзо,цзо
